,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2005 - Apr,12859.531,15896.577,,
2005 - May,12881.596,15863.088,,
2005 - Jun,13026.841,16010.792,,
2005 - Jul,13095.775,16037.272,,
2005 - Aug,13152.334,16077.177,,
2005 - Sep,13179.817,16030.469,,
2005 - Oct,13234.972,16063.584,,
2005 - Nov,13299.753,16112.402,,
2005 - Dec,13437.887,16236.343,,
2006 - Jan,13517.122,16314.887,,
2006 - Feb,13569.165,16307.550,,
2006 - Mar,13711.193,16441.145,,
2006 - Apr,13696.223,16371.674,,
2006 - May,13781.552,16415.579,,
2006 - Jun,13782.497,16403.396,,
2006 - Jul,13793.202,16368.170,,
2006 - Aug,13884.184,16420.271,,
2006 - Sep,13933.178,16476.081,,
2006 - Oct,13966.219,16488.682,,
2006 - Nov,14060.037,16601.601,,
2006 - Dec,14092.425,16597.643,,
2007 - Jan,14135.188,16579.695,,
2007 - Feb,14289.107,16683.949,,
2007 - Mar,14222.658,16573.639,,
2007 - Apr,14361.677,16710.160,,
2007 - May,14402.073,16703.031,,
2007 - Jun,14442.496,16728.703,,
2007 - Jul,14426.195,16673.465,,
2007 - Aug,14598.174,16863.885,,
2007 - Sep,14667.982,16893.262,,
2007 - Oct,14661.838,16876.083,,
2007 - Nov,14717.031,16900.204,,
2007 - Dec,14766.305,16971.095,,
2008 - Jan,14807.124,16996.724,,
2008 - Feb,14627.136,16753.549,,
2008 - Mar,14685.355,16780.753,,
2008 - Apr,14754.027,16842.814,,
2008 - May,14801.352,16890.148,,
2008 - Jun,15041.723,17098.348,,
2008 - Jul,14970.169,16969.430,,
2008 - Aug,14923.829,16899.070,,
2008 - Sep,14803.000,16695.911,,
2008 - Oct,14695.066,16566.159,,
2008 - Nov,14697.704,16584.909,,
2008 - Dec,14431.857,16306.125,,
2009 - Jan,14478.767,16348.116,,
2009 - Feb,14445.017,16292.374,,
2009 - Mar,14368.923,16255.034,,
2009 - Apr,14362.028,16255.918,,
2009 - May,14373.125,16273.501,,
2009 - Jun,14408.555,16278.619,,
2009 - Jul,14378.933,16264.570,,
2009 - Aug,14478.522,16347.064,,
2009 - Sep,14489.191,16367.946,,
2009 - Oct,14691.766,16568.240,,
2009 - Nov,14667.872,16515.557,,
2009 - Dec,14594.109,16425.201,,
2010 - Jan,14707.483,16526.249,,
2010 - Feb,14736.533,16562.371,,
2010 - Mar,14849.814,16659.955,,
2010 - Apr,14946.924,16726.005,,
2010 - May,14955.775,16713.426,,
2010 - Jun,15037.880,16790.684,,
2010 - Jul,15116.157,16870.967,,
2010 - Aug,15102.956,16828.872,,
2010 - Sep,15205.708,16917.542,,
2010 - Oct,15279.235,16956.291,,
2010 - Nov,15264.994,16904.931,,
2010 - Dec,15384.193,17022.041,,
2011 - Jan,15256.328,16863.407,,
2011 - Feb,15281.425,16839.578,,
2011 - Mar,15516.591,17059.509,,
2011 - Apr,15583.790,17096.689,,
2011 - May,15567.462,17038.074,,
2011 - Jun,15521.365,16971.280,,
2011 - Jul,15622.779,17032.749,,
2011 - Aug,15721.035,17102.426,,
2011 - Sep,15599.226,16959.471,,
2011 - Oct,15851.138,17249.194,,
2011 - Nov,15842.317,17209.170,,
2011 - Dec,15833.322,17210.176,,
2012 - Jan,15933.484,17262.709,,
2012 - Feb,16214.362,17513.867,,
2012 - Mar,16058.569,17325.031,,
2012 - Apr,16179.040,17411.990,,
2012 - May,16226.202,17478.186,,
2012 - Jun,16216.103,17444.026,,
2012 - Jul,16324.420,17523.452,,
2012 - Aug,16276.701,17417.577,,
2012 - Sep,16357.502,17468.591,,
2012 - Oct,16345.012,17415.837,,
2012 - Nov,16409.920,17490.135,,
2012 - Dec,16506.324,17564.298,,
2013 - Jan,16683.644,17725.481,,
2013 - Feb,16603.753,17602.176,,
2013 - Mar,16657.170,17660.217,,
2013 - Apr,16677.647,17693.754,,
2013 - May,16670.943,17656.208,,
2013 - Jun,16837.472,17779.672,,
2013 - Jul,16873.523,17795.256,,
2013 - Aug,16988.333,17896.593,,
2013 - Sep,16999.657,17890.111,,
2013 - Oct,17115.128,17982.588,,
2013 - Nov,17222.834,18055.923,,
2013 - Dec,17238.094,18010.459,,
2014 - Jan,17116.678,17877.955,,
2014 - Feb,17213.878,17985.096,,
2014 - Mar,17262.658,17999.402,,
2014 - Apr,17402.425,18107.213,,
2014 - May,17543.385,18200.696,,
2014 - Jun,17609.714,18250.373,,
2014 - Jul,17755.221,18369.764,,
2014 - Aug,17861.019,18466.734,,
2014 - Sep,17796.444,18384.912,,
2014 - Oct,17906.724,18495.721,,
2014 - Nov,17917.319,18500.297,,
2014 - Dec,17912.194,18504.592,,
2015 - Jan,18003.395,18652.755,,
2015 - Feb,18123.901,18730.936,,
2015 - Mar,18063.291,18616.632,,
2015 - Apr,18240.872,18782.366,,
2015 - May,18258.843,18751.245,,
2015 - Jun,18339.636,18813.468,,
2015 - Jul,18370.978,18823.478,,
