Non Durable Unit Index
290.00
342.69
260.92
356.92
450.15
431.69
542.77
733.54
970.46
1066.15
1056.00
1115.00
1338.08
1478.77
1395.69
1173.08
1363.69
1259.77
949.92
957.69
1000.00
701.08
777.31
737.31
580.31
506.77
483.00
447.23
661.62
630.00
553.85
607.38
718.31
804.23
918.46
1082.77
1805.69
2394.00
2731.62
3100.00
4012.62
3462.85
3247.54
3381.69
3612.69
3678.54
3475.38
2904.62
2862.23
2782.77
2577.85
2478.69
2531.69
2054.77
1892.31
1915.38
1428.54
1305.69
1265.38
1176.00
1609.85
939.00
766.15
825.00
951.08
810.92
942.69
973.38
890.15
708.08
831.00
671.46
576.23
682.00
543.69
469.23
420.00
412.00
448.00
519.08
510.00
884.62
1056.23
788.31
917.23
1217.08
802.62
798.62
807.23
521.54
519.23
452.00
309.62
424.62
386.00
450.69
383.69
394.00
493.62
