rwshr,ppi,unint,cplt,ltint,prd,stlfsi,indprd,wtioil,wtioil
2.720447309,5.305954794,7.974057852,4.32023855,2.036666667,4.631315402,0.746661538,4.606238615,94.01333333,4.543436616
2.73588648,5.313041762,7.95935632,4.3204464,1.823333333,4.629413917,0.155061538,4.608630525,102.8766667,4.63353086
2.740968689,5.310410614,7.931202113,4.312768103,1.643333333,4.625972314,0.160584615,4.603744504,93.42666667,4.537176815
2.749432219,5.307442274,7.854710997,4.310931555,1.706666667,4.616001317,-0.167746154,4.603845309,92.18,4.523743187
2.74833683,5.304796333,7.815485474,4.311680616,1.95,4.622361564,-0.466246154,4.604985836,87.96,4.476882166
2.722739177,5.313205979,7.836642343,4.316428886,1.996666667,4.632532403,-0.653430769,4.608325204,94.33666667,4.546869944
2.717635452,5.314682721,7.627919199,4.318395702,2.71,4.642070902,-0.467092308,4.607214761,94.1,4.544358047
2.708001011,5.317466185,7.545553584,4.318430336,2.746666667,4.640411839,-0.365630769,4.60354353,105.8433333,4.661960013
2.738133036,5.307607413,7.557671315,4.318716692,2.763333333,4.639320373,-0.554284615,4.600469488,97.34333333,4.578244248
2.753332186,5.324309947,7.264408223,4.314282537,2.623333333,4.636688233,-0.599776923,4.59327404,98.74666667,4.592557648
2.729921461,5.331429718,7.174486916,4.323131714,2.496666667,4.641521401,-0.732284615,4.599758905,103.3466667,4.638089033
2.739889579,5.328037968,7.143127751,4.325947785,2.28,4.643294144,-0.6344,4.599752537,97.78,4.582720057
2.784161965,5.291292752,7.069874128,4.331947077,1.966666667,4.627577262,-0.312446154,4.601628589,73.16,4.292648824
2.82770828,5.245970886,7.383896286,4.332897225,2.166666667,4.623540415,-0.143215385,4.597618745,48.54,3.8823882
2.801778168,5.254539619,6.844815479,4.337794318,2.22,4.62818334,-0.3137,4.597925674,57.84666667,4.057795832
2.81469695,5.246673133,6.641377973,4.346476311,2.19,4.624502114,0.055707692,4.604094941,46.41666667,3.83765859
2.848361921,5.215841145,6.715383386,4.349370428,1.92,4.626442321,0.165538462,4.607429632,41.95,3.736478433
2.866885969,5.194252308,6.857598181,4.351920887,1.753333333,4.63904007,0.525092308,4.612874432,33.18333333,3.502047742
2.850646751,5.215298011,6.698169406,4.34442125,1.563333333,4.628154022,0.158946154,4.609336827,45.40666667,3.815658937
2.860896347,5.228609954,6.848737491,4.340559467,2.13,4.614387575,0.238142857,4.608384016,44.85,3.803323589
2.868325028,5.233067481,6.880774551,4.340884711,2.443333333,4.623334217,-0.005030769,4.608682012,49.13666667,3.894605531
2.864912976,5.254191309,6.791389988,4.340324044,2.263333333,4.61424885,-0.263169231,4.604443255,51.76666667,3.946746441
2.855366752,5.261134575,6.562557082,4.351779175,2.243333333,4.614100195,-0.544830769,4.609215659,48.24,3.876188552
2.850874861,5.26837349,6.722629795,4.351892976,2.37,4.592490133,-0.602753846,4.601479383,48.16333333,3.874598012
2.834008736,5.280662431,6.509454446,4.362815782,2.76,4.60027824,-0.7164,4.605526789,55.36666667,4.013977728
2.821406377,5.297316866,6.356506887,4.358453031,2.92,4.5986691,-0.271123077,4.59669941,62.88666667,4.141334165
2.772342531,5.317302666,6.525029658,4.364411563,2.926666667,4.610764509,-0.124723077,4.600928536,68.03333333,4.219997781
2.779859017,5.329816034,6.298379231,4.370694754,3.033333333,4.613346667,-0.576123077,4.607568308,69.75666667,4.245012996
2.798948679,5.32219664,6.151093053,4.362609333,2.653333333,4.603749177,-0.105061538,4.600654673,59.07666667,4.078836035
2.825112143,5.302807272,6.040254711,4.357726685,2.333333333,4.607796734,-0.324915385,4.596565606,54.82666667,4.004176694
2.808787295,5.310081233,6.021023349,4.351244781,1.796666667,4.600780566,-0.487407692,4.58986059,59.78333333,4.090726915
2.827370207,5.300315369,6.104793232,4.354924758,1.793333333,4.597389999,-0.1976,4.592198753,56.37,4.031937102
2.850005074,5.293807211,6.252058014,4.355116962,1.376666667,4.593917107,-0.117430769,4.589993602,56.95666667,4.042290745
2.88375905,5.279813895,6.234410726,4.356530178,0.686666667,4.601714221,0.9898,4.588054546,45.75666667,3.823337501
2.867955429,5.230930348,6.785158174,4.273153475,0.65,4.603168183,1.114823077,4.500481297,27.80666667,3.3252758
2.876651497,5.270089345,6.962461244,4.326444772,0.863333333,4.600248092,-0.055815385,4.549142897,40.89333333,3.710967051
2.879910801,5.287761853,6.669891414,4.351841874,1.316666667,4.593198814,-0.231169231,4.569983671,42.45333333,3.748405433
2.811312184,5.350435321,6.821358259,4.348448738,1.593333333,4.592753416,-0.539492308,4.562694742,57.79,4.05681575
2.764764508,5.410752796,7.104209826,4.38306984,1.323333333,4.621004164,-0.790792308,4.594307399,66.09,4.191017449
2.764950008,5.459762803,6.687881377,4.38829238,1.536666667,4.614764018,-0.728638462,4.597328856,70.62333333,4.25736059
2.768023057,5.497943881,6.682885238,4.39964305,1.94,4.602927673,-0.665357143,4.606993523,77.44666667,4.349589527
2.760589561,5.540387344,6.693608634,4.402999737,2.93,4.599172234,-0.339641667,4.60910012,94.45333333,4.548105885
2.713319471,5.616703217,6.256785973,4.403665402,3.106666667,4.598427505,-0.023353846,4.609185447,108.7233333,4.688806429
2.739538741,5.605176871,6.252346945,4.399472729,3.83,4.591608643,-0.1106,4.605636744,93.18333333,4.534568879
2.751371283,5.568147283,6.11368218,4.387136888,3.646666667,4.587240404,-0.113146154,4.595528857,82.78666667,4.416267018
2.74691736,5.556390385,5.735345739,4.386894766,3.593333333,4.594291224,-0.229146154,4.598875751,76.07666667,4.331741604
2.72814209,5.540235566,6.051194651,4.379392752,4.15,4.596855716,-0.488246154,4.595748609,73.76,4.300816579
2.723979188,5.553872605,5.955837369,4.373153215,4.44,4.60563008,-0.698361538,4.593982503,82.29666667,4.410330605
2.741523833,5.536721218,6.110779742,4.370014359,4.16,4.61661445,-0.525523077,4.594848096,78.41,4.36195147
2.753321717,5.541028223,5.949834935,4.362177181,4.443333333,4.609819362,-0.769369231,4.590485559,77.56,4.35105183
2.756573579,5.547483378,5.976350909,4.365268244,3.946666667,4.614080372,-0.829661538,4.596640579,81.71333333,4.403217187
