rwshre,unint,capult,prd,,,,,,,,,,,,,,,,,,,,,,,,,
3.054,7.512,4.28,4.367,,,,,,,,,,,,,,,,,,,,,,,,,
3.064,7.294,4.283,4.35,,,,,,,,,,,,,,,,,,,,,,,,,
3.09,7.301,4.283,4.32,,,,,,,,,,,,,,,,,,,,,,,,,
3.099,7.075,4.287,4.301,,,,,,,,,,,,,,,,,,,,,,,,,
3.105,7.234,4.292,4.287,,,,,,,,,,,,,,,,,,,,,,,,,
3.116,7.024,4.292,4.294,,,,,,,,,,,,,,,,,,,,,,,,,
3.089,7.335,4.281,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
3.114,7.395,4.284,4.287,,,,,,,,,,,,,,,,,,,,,,,,,
3.131,7.215,4.291,4.274,,,,,,,,,,,,,,,,,,,,,,,,,
3.124,7.533,4.286,4.267,,,,,,,,,,,,,,,,,,,,,,,,,
3.127,7.011,4.281,4.259,,,,,,,,,,,,,,,,,,,,,,,,,
3.135,7.215,4.279,4.259,,,,,,,,,,,,,,,,,,,,,,,,,
3.124,6.505,4.263,4.258,,,,,,,,,,,,,,,,,,,,,,,,,
3.125,6.969,4.263,4.257,,,,,,,,,,,,,,,,,,,,,,,,,
3.13,6.815,4.251,4.258,,,,,,,,,,,,,,,,,,,,,,,,,
3.123,6.963,4.25,4.253,,,,,,,,,,,,,,,,,,,,,,,,,
3.132,7.209,4.251,4.244,,,,,,,,,,,,,,,,,,,,,,,,,
3.137,7.185,4.248,4.236,,,,,,,,,,,,,,,,,,,,,,,,,
3.133,7.066,4.245,4.245,,,,,,,,,,,,,,,,,,,,,,,,,
3.123,7.334,4.253,4.259,,,,,,,,,,,,,,,,,,,,,,,,,
3.112,6.754,4.242,4.277,,,,,,,,,,,,,,,,,,,,,,,,,
3.111,6.724,4.232,4.286,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,6.579,4.232,4.287,,,,,,,,,,,,,,,,,,,,,,,,,
3.123,6.906,4.234,4.276,,,,,,,,,,,,,,,,,,,,,,,,,
3.129,7.18,4.242,4.27,,,,,,,,,,,,,,,,,,,,,,,,,
3.127,7.021,4.242,4.266,,,,,,,,,,,,,,,,,,,,,,,,,
3.138,7,4.242,4.264,,,,,,,,,,,,,,,,,,,,,,,,,
3.124,7.102,4.245,4.271,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,7.289,4.239,4.29,,,,,,,,,,,,,,,,,,,,,,,,,
3.077,7.356,4.24,4.313,,,,,,,,,,,,,,,,,,,,,,,,,
3.079,6.775,4.242,4.322,,,,,,,,,,,,,,,,,,,,,,,,,
3.086,6.497,4.248,4.32,,,,,,,,,,,,,,,,,,,,,,,,,
3.093,6.619,4.245,4.299,,,,,,,,,,,,,,,,,,,,,,,,,
3.102,6.496,4.249,4.29,,,,,,,,,,,,,,,,,,,,,,,,,
3.108,6.786,4.261,4.28,,,,,,,,,,,,,,,,,,,,,,,,,
3.096,7.014,4.266,4.278,,,,,,,,,,,,,,,,,,,,,,,,,
3.083,6.631,4.261,4.274,,,,,,,,,,,,,,,,,,,,,,,,,
3.099,6.464,4.274,4.266,,,,,,,,,,,,,,,,,,,,,,,,,
3.105,6.867,4.28,4.257,,,,,,,,,,,,,,,,,,,,,,,,,
3.126,6.752,4.288,4.247,,,,,,,,,,,,,,,,,,,,,,,,,
3.143,6.32,4.289,4.236,,,,,,,,,,,,,,,,,,,,,,,,,
3.159,6.2,4.282,4.225,,,,,,,,,,,,,,,,,,,,,,,,,
3.175,6.123,4.286,4.22,,,,,,,,,,,,,,,,,,,,,,,,,
3.189,6.333,4.293,4.222,,,,,,,,,,,,,,,,,,,,,,,,,
3.174,6.295,4.292,4.234,,,,,,,,,,,,,,,,,,,,,,,,,
3.179,6.641,4.292,4.228,,,,,,,,,,,,,,,,,,,,,,,,,
3.176,6.852,4.287,4.219,,,,,,,,,,,,,,,,,,,,,,,,,
3.202,6.818,4.295,4.199,,,,,,,,,,,,,,,,,,,,,,,,,
3.207,6.764,4.287,4.189,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,6.283,4.296,4.19,,,,,,,,,,,,,,,,,,,,,,,,,
3.188,5.984,4.299,4.201,,,,,,,,,,,,,,,,,,,,,,,,,
3.17,6.17,4.292,4.208,,,,,,,,,,,,,,,,,,,,,,,,,
3.191,5.632,4.3,4.207,,,,,,,,,,,,,,,,,,,,,,,,,
3.21,5.173,4.303,4.198,,,,,,,,,,,,,,,,,,,,,,,,,
3.201,5.372,4.307,4.201,,,,,,,,,,,,,,,,,,,,,,,,,
3.185,5.495,4.308,4.21,,,,,,,,,,,,,,,,,,,,,,,,,
3.168,5.275,4.319,4.232,,,,,,,,,,,,,,,,,,,,,,,,,
3.154,5.71,4.314,4.239,,,,,,,,,,,,,,,,,,,,,,,,,
3.15,6.196,4.325,4.241,,,,,,,,,,,,,,,,,,,,,,,,,
3.159,6.72,4.319,4.234,,,,,,,,,,,,,,,,,,,,,,,,,
3.171,6.399,4.316,4.228,,,,,,,,,,,,,,,,,,,,,,,,,
3.185,6.413,4.308,4.231,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,6.274,4.306,4.235,,,,,,,,,,,,,,,,,,,,,,,,,
3.198,6.09,4.303,4.231,,,,,,,,,,,,,,,,,,,,,,,,,
3.206,6.625,4.312,4.221,,,,,,,,,,,,,,,,,,,,,,,,,
3.231,6.326,4.312,4.203,,,,,,,,,,,,,,,,,,,,,,,,,
3.249,6.687,4.316,4.191,,,,,,,,,,,,,,,,,,,,,,,,,
3.254,5.936,4.318,4.193,,,,,,,,,,,,,,,,,,,,,,,,,
3.239,4.673,4.312,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
3.26,5.922,4.307,4.185,,,,,,,,,,,,,,,,,,,,,,,,,
3.281,6.027,4.314,4.176,,,,,,,,,,,,,,,,,,,,,,,,,
3.298,6.457,4.319,4.161,,,,,,,,,,,,,,,,,,,,,,,,,
3.31,6.42,4.328,4.155,,,,,,,,,,,,,,,,,,,,,,,,,
3.313,6.253,4.334,4.156,,,,,,,,,,,,,,,,,,,,,,,,,
3.329,5.692,4.34,4.165,,,,,,,,,,,,,,,,,,,,,,,,,
3.307,5.637,4.309,4.184,,,,,,,,,,,,,,,,,,,,,,,,,
3.302,6.18,4.292,4.186,,,,,,,,,,,,,,,,,,,,,,,,,
3.304,6.126,4.334,4.198,,,,,,,,,,,,,,,,,,,,,,,,,
3.292,5.144,4.334,4.216,,,,,,,,,,,,,,,,,,,,,,,,,
3.274,5.616,4.328,4.233,,,,,,,,,,,,,,,,,,,,,,,,,
3.28,5.76,4.314,4.249,,,,,,,,,,,,,,,,,,,,,,,,,
3.272,4.919,4.318,4.268,,,,,,,,,,,,,,,,,,,,,,,,,
3.271,5.465,4.321,4.276,,,,,,,,,,,,,,,,,,,,,,,,,
3.242,6.131,4.326,4.28,,,,,,,,,,,,,,,,,,,,,,,,,
3.234,6.06,4.324,4.281,,,,,,,,,,,,,,,,,,,,,,,,,
3.241,6.041,4.328,4.273,,,,,,,,,,,,,,,,,,,,,,,,,
3.236,5.925,4.336,4.269,,,,,,,,,,,,,,,,,,,,,,,,,
3.24,5.443,4.328,4.261,,,,,,,,,,,,,,,,,,,,,,,,,
3.256,6.238,4.329,4.257,,,,,,,,,,,,,,,,,,,,,,,,,
3.25,6.136,4.33,4.256,,,,,,,,,,,,,,,,,,,,,,,,,
3.288,6.255,4.34,4.247,,,,,,,,,,,,,,,,,,,,,,,,,
3.307,5.971,4.341,4.232,,,,,,,,,,,,,,,,,,,,,,,,,
3.347,5.707,4.335,4.203,,,,,,,,,,,,,,,,,,,,,,,,,
3.351,5.709,4.338,4.183,,,,,,,,,,,,,,,,,,,,,,,,,
3.361,5.605,4.341,4.171,,,,,,,,,,,,,,,,,,,,,,,,,
3.351,5.422,4.335,4.17,,,,,,,,,,,,,,,,,,,,,,,,,
3.354,5.17,4.327,4.173,,,,,,,,,,,,,,,,,,,,,,,,,
3.334,4.969,4.326,4.181,,,,,,,,,,,,,,,,,,,,,,,,,
3.323,4.914,4.335,4.197,,,,,,,,,,,,,,,,,,,,,,,,,
3.319,4.817,4.345,4.205,,,,,,,,,,,,,,,,,,,,,,,,,
3.315,5.712,4.345,4.203,,,,,,,,,,,,,,,,,,,,,,,,,
3.326,5.319,4.344,4.197,,,,,,,,,,,,,,,,,,,,,,,,,
3.326,4.567,4.34,4.194,,,,,,,,,,,,,,,,,,,,,,,,,
3.316,4.606,4.337,4.193,,,,,,,,,,,,,,,,,,,,,,,,,
3.291,5.037,4.341,4.206,,,,,,,,,,,,,,,,,,,,,,,,,
3.261,5.926,4.342,4.22,,,,,,,,,,,,,,,,,,,,,,,,,
3.248,5.94,4.36,4.242,,,,,,,,,,,,,,,,,,,,,,,,,
3.241,5.497,4.298,4.27,,,,,,,,,,,,,,,,,,,,,,,,,
3.213,5.443,4.297,4.28,,,,,,,,,,,,,,,,,,,,,,,,,
3.198,6.119,4.303,4.301,,,,,,,,,,,,,,,,,,,,,,,,,
3.188,6.181,4.321,4.301,,,,,,,,,,,,,,,,,,,,,,,,,
3.19,6.336,4.335,4.306,,,,,,,,,,,,,,,,,,,,,,,,,
3.175,5.95,4.337,4.322,,,,,,,,,,,,,,,,,,,,,,,,,
3.162,6.315,4.352,4.332,,,,,,,,,,,,,,,,,,,,,,,,,
3.161,5.847,4.356,4.344,,,,,,,,,,,,,,,,,,,,,,,,,
3.197,5.141,4.357,4.331,,,,,,,,,,,,,,,,,,,,,,,,,
3.196,5.902,4.36,4.318,,,,,,,,,,,,,,,,,,,,,,,,,
3.219,6.124,4.284,4.316,,,,,,,,,,,,,,,,,,,,,,,,,
3.189,6.213,4.337,4.313,,,,,,,,,,,,,,,,,,,,,,,,,
3.185,5.891,4.378,4.328,,,,,,,,,,,,,,,,,,,,,,,,,
3.163,5.814,4.401,4.338,,,,,,,,,,,,,,,,,,,,,,,,,
3.157,6.475,4.403,4.342,,,,,,,,,,,,,,,,,,,,,,,,,
3.17,6.011,4.397,4.339,,,,,,,,,,,,,,,,,,,,,,,,,
3.145,6.282,4.381,4.347,,,,,,,,,,,,,,,,,,,,,,,,,
3.125,5.833,4.356,4.363,,,,,,,,,,,,,,,,,,,,,,,,,
3.094,5.248,4.372,4.389,,,,,,,,,,,,,,,,,,,,,,,,,
3.067,5.997,4.368,4.402,,,,,,,,,,,,,,,,,,,,,,,,,
3.083,6.149,4.367,4.395,,,,,,,,,,,,,,,,,,,,,,,,,
3.062,6.031,4.347,4.366,,,,,,,,,,,,,,,,,,,,,,,,,
3.103,5.819,4.341,4.35,,,,,,,,,,,,,,,,,,,,,,,,,
3.119,5.477,4.338,4.33,,,,,,,,,,,,,,,,,,,,,,,,,
3.135,5.571,4.325,4.312,,,,,,,,,,,,,,,,,,,,,,,,,
3.154,5.442,4.322,4.297,,,,,,,,,,,,,,,,,,,,,,,,,
3.154,5.394,4.312,4.282,,,,,,,,,,,,,,,,,,,,,,,,,
3.185,6.005,4.307,4.264,,,,,,,,,,,,,,,,,,,,,,,,,
3.179,6.097,4.303,4.279,,,,,,,,,,,,,,,,,,,,,,,,,
3.172,5.421,4.295,4.301,,,,,,,,,,,,,,,,,,,,,,,,,
3.138,5.436,4.293,4.334,,,,,,,,,,,,,,,,,,,,,,,,,
3.14,5.327,4.289,4.348,,,,,,,,,,,,,,,,,,,,,,,,,
3.138,4.887,4.255,4.347,,,,,,,,,,,,,,,,,,,,,,,,,
3.182,5.003,4.291,4.328,,,,,,,,,,,,,,,,,,,,,,,,,
3.188,6.054,4.31,4.309,,,,,,,,,,,,,,,,,,,,,,,,,
3.209,5.448,4.309,4.31,,,,,,,,,,,,,,,,,,,,,,,,,
3.224,5.543,4.317,4.294,,,,,,,,,,,,,,,,,,,,,,,,,
3.218,5.94,4.306,4.298,,,,,,,,,,,,,,,,,,,,,,,,,
3.219,5.956,4.307,4.313,,,,,,,,,,,,,,,,,,,,,,,,,
3.198,5.421,4.305,4.337,,,,,,,,,,,,,,,,,,,,,,,,,
3.196,4.881,4.309,4.355,,,,,,,,,,,,,,,,,,,,,,,,,
3.171,4.956,4.315,4.367,,,,,,,,,,,,,,,,,,,,,,,,,
3.147,5.303,4.307,4.375,,,,,,,,,,,,,,,,,,,,,,,,,
3.159,5.348,4.305,4.388,,,,,,,,,,,,,,,,,,,,,,,,,
3.161,5.944,4.31,4.39,,,,,,,,,,,,,,,,,,,,,,,,,
3.145,5.992,4.288,4.388,,,,,,,,,,,,,,,,,,,,,,,,,
3.123,5.52,4.307,4.393,,,,,,,,,,,,,,,,,,,,,,,,,
3.114,5.473,4.304,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
3.094,5.548,4.304,4.432,,,,,,,,,,,,,,,,,,,,,,,,,
3.109,5.465,4.313,4.431,,,,,,,,,,,,,,,,,,,,,,,,,
3.11,5.591,4.315,4.43,,,,,,,,,,,,,,,,,,,,,,,,,
