Non Durable Int
460.00
306.11
366.65
404.01
425.27
396.11
523.83
598.20
731.14
778.44
607.19
746.71
852.40
946.05
774.37
744.31
840.12
902.16
793.41
767.96
688.92
709.94
516.11
672.81
599.82
616.77
606.29
495.81
549.70
467.78
473.83
668.80
649.46
612.51
713.05
869.22
1320.24
1716.89
1796.41
2192.34
2011.98
2393.05
1977.84
2187.07
2493.53
2413.41
2219.16
2038.32
2178.32
1802.16
2112.57
1870.66
1729.04
1768.86
1779.76
1646.35
1486.83
1383.23
1118.08
851.92
1173.65
1096.29
635.99
461.56
590.12
848.80
855.09
859.58
495.99
616.89
488.62
652.10
443.11
564.79
584.49
580.48
469.46
416.77
420.96
308.98
493.11
591.62
793.05
675.81
1034.97
912.34
695.21
561.92
519.70
368.26
427.60
247.19
433.65
454.79
363.59
435.45
477.84
359.64
530.30
545.39
