Date       Open	   High	  Low	    Close
10/8/2009	1449.49	1499.53	1449.49	1492.51
10/9/2009	1492.51	1502.52	1478.58	1496.78
10/12/2009	1496.78	1523.58	1483.39	1494.59
10/13/2009	1494.59	1510.39	1476.75	1505.92
10/14/2009	1505.92	1589.93	1505.92	1585.78
10/15/2009	1585.78	1611.66	1569.88	1606.48
10/16/2009	1606.48	1606.48	1558.75	1563.62
10/19/2009	1563.62	1597.44	1562.04	1587.41
10/20/2009	1587.41	1587.41	1530.13	1562.24
10/21/2009	1562.24	1609.03	1546.96	1569.18
10/22/2009	1569.18	1570.64	1524.43	1561
10/23/2009	1561	1582.13	1530.3	1537.7
10/26/2009	1537.7	1581.87	1503.07	1510.36
10/27/2009	1510.36	1510.95	1445.7	1447.52
10/28/2009	1447.52	1447.52	1354.45	1359.07
10/29/2009	1359.07	1457.77	1359.07	1445.14
10/30/2009	1445.14	1451.94	1360.83	1383.49
11/2/2009	1383.49	1435.07	1359.66	1395.01
11/3/2009	1395.01	1430.19	1357.26	1419.07
11/4/2009	1419.07	1469.79	1419.07	1433.74
11/5/2009	1433.74	1485.32	1433.74	1485.16
11/6/2009	1485.16	1508.01	1467.25	1484.31
11/9/2009	1484.31	1549.97	1484.31	1544.58
11/10/2009	1544.58	1546.38	1510.69	1535.8
11/11/2009	1535.8	1573.29	1535.8	1546.23
11/12/2009	1546.23	1556.58	1507.73	1512.33
11/13/2009	1512.33	1554.65	1510.05	1546.36
11/16/2009	1546.36	1622.86	1546.36	1610.15
11/17/2009	1610.15	1627.62	1584.33	1626.51
11/18/2009	1626.51	1636.55	1600.3	1612.88
11/19/2009	1612.88	1612.88	1553.52	1584.41
11/20/2009	1584.41	1584.66	1548.99	1580.65
11/23/2009	1580.65	1634.26	1580.65	1600.56
11/24/2009	1600.56	1604.08	1580.86	1601.69
11/25/2009	1601.69	1634.32	1601.69	1631.86
11/27/2009	1631.86	1631.86	1554.89	1583.28
11/30/2009	1589.92	1605.86	1572.17	1586.22
12/1/2009	1586.22	1648.25	1586.22	1629.41
12/2/2009	1629.41	1668.27	1629.41	1655.47
12/3/2009	1655.47	1669.02	1619.83	1623.53
12/4/2009	1623.53	1671.08	1586.66	1609.07
12/7/2009	1609.07	1636.92	1606.25	1615.77
12/8/2009	1615.77	1615.77	1562.83	1571.63
12/9/2009	1571.63	1612.01	1562.33	1609.72
12/10/2009	1609.72	1629.74	1602.94	1611.67
12/11/2009	1611.67	1636.52	1611.67	1630.09
12/14/2009	1630.09	1663.33	1630.09	1663.07
12/15/2009	1663.07	1670.55	1646.9	1652.29
12/16/2009	1652.29	1676.71	1652.29	1664.36
12/17/2009	1664.36	1664.36	1617.6	1620.24
12/18/2009	1620.24	1639.43	1607.65	1624.7
12/21/2009	1624.7	1657.86	1624.7	1648.94
12/22/2009	1648.94	1664.36	1638.95	1662.77
12/23/2009	1662.77	1699.17	1662.77	1696.02
12/24/2009	1696.02	1723.5	1696.02	1719.96
12/28/2009	1719.96	1740.69	1706.53	1712.22
12/29/2009	1712.22	1729.79	1707.57	1710.24
12/30/2009	1710.24	1720.49	1694.15	1717.57
12/31/2009	1717.57	1727.11	1699.26	1699.33
1/4/2010	1699.33	1771.28	1699.33	1770.72
1/5/2010	1770.72	1796.94	1767.13	1785.33
1/6/2010	1785.33	1834.36	1783.68	1827.25
1/7/2010	1827.25	1827.25	1794.3	1819.66
1/8/2010	1819.66	1872.38	1819.66	1866.62
1/11/2010	1866.62	1899.97	1846.59	1854.39
1/12/2010	1854.39	1854.39	1791.39	1810.87
1/13/2010	1810.87	1831.63	1794.09	1829.92
1/14/2010	1829.92	1846.96	1825.08	1835.1
1/15/2010	1835.1	1835.1	1789.12	1795.31
1/19/2010	1795.31	1837.79	1795.31	1837.79
1/20/2010	1837.79	1837.79	1756.34	1782.37
1/21/2010	1782.37	1782.37	1676.89	1678.35
1/22/2010	1678.35	1687.83	1618.51	1623.43
1/25/2010	1623.43	1672.93	1623.43	1630.71
1/26/2010	1630.71	1630.71	1578.79	1584.69
1/27/2010	1584.69	1595.05	1530.21	1565.24
1/28/2010	1565.24	1581.47	1515.03	1528.73
1/29/2010	1528.73	1572.19	1496.42	1504.69
2/1/2010	1504.69	1594.28	1504.69	1594.24
