valueadded.Chemical.products
187.1787674
187.4272604
187.9242465
188.6697257
189.6636979
191.7158077
194.8260549
198.9944395
204.2209617
207.7431859
209.5611121
209.6747403
208.0840705
208.4541744
210.7850519
215.0767032
221.3291282
226.0184469
229.1446594
230.7077656
