compmfgqrtly
998.00
984.97
973.60
964.17
950.37
935.60
919.23
896.90
884.20
875.57
874.90
870.73
865.73
858.87
849.90
851.60
854.87
859.33
866.33
875.07
878.20
883.30
894.47
905.83
912.80
914.63
915.47
917.93
926.67
943.97
960.37
972.83
979.33
973.60
961.27
945.30
934.77
934.80
933.20
929.37
930.97
938.40
961.07
967.70
954.73
903.37
842.47
802.40
767.53
753.87
735.67
719.00
699.47
677.63
661.43
651.63
646.80
652.77
662.70
660.10
673.97
688.27
706.80
731.13
742.67
758.33
763.13
757.57
750.90
743.57
740.10
740.87
744.17
739.47
726.57
710.50
682.00
657.63
642.07
635.30
630.40
628.50
629.20
628.53
631.83
629.87
629.73
628.47
630.23
630.90
626.53
623.60
618.07
612.83
607.37
601.87
594.53
588.17
587.03
587.60
589.33
594.67
597.97
595.23
597.13
598.13
593.83
593.23
594.53
595.53
598.70
604.17
607.50
608.23
612.67
621.53
635.47
632.00
637.60
647.33
656.53
638.60
634.93
629.60
624.13
631.63
642.07
643.67
646.90
654.90
665.27
672.37
679.80
677.47
675.47
677.43
678.33
674.80
