usst,ppironstl,iprinstl.ts,steelee.ts
197.900,154.600,96.460,253.600
202.900,157.600,95.418,252.300
198.770,156.000,92.211,251.500
257.530,154.000,89.897,251.600
250.080,153.500,93.684,250.700
248.700,155.400,97.448,251.200
266.710,159.600,100.647,251.100
249.540,163.400,99.317,250.700
243.330,166.100,97.921,251.000
228.090,167.300,98.278,251.600
235.060,170.300,97.845,253.300
236.740,171.500,98.855,255.400
235.220,175.200,98.494,255.400
240.150,168.600,100.450,256.300
247.940,171.000,102.325,255.000
250.820,169.300,101.629,255.800
278.130,167.300,102.893,255.100
293.650,168.300,101.347,258.100
297.470,169.300,100.817,257.300
272.470,174.600,103.713,257.900
278.560,177.700,106.027,257.500
298.980,182.000,103.420,258.000
280.510,188.900,103.819,257.800
296.150,192.900,103.411,260.600
280.020,196.500,103.016,259.300
280.840,200.400,104.198,261.700
252.920,203.500,103.970,261.400
247.070,202.200,104.381,261.800
209.810,205.200,103.154,263.800
250.160,203.900,100.609,266.800
253.120,201.700,96.345,265.700
242.020,195.300,96.552,266.700
233.590,195.700,96.036,266.800
194.840,191.800,95.705,265.500
229.280,189.300,93.610,266.400
227.990,184.600,90.871,267.400
205.860,178.800,93.586,266.100
216.360,175.500,94.819,266.400
229.280,174.200,94.725,265.800
243.860,171.900,94.711,261.300
242.130,167.000,95.910,261.500
210.950,163.700,99.764,260.900
187.610,163.600,103.570,259.000
153.260,163.900,99.540,259.900
166.240,165.400,96.132,258.500
176.550,164.600,69.837,233.500
177.910,160.600,67.076,227.100
179.500,159.900,72.867,234.400
192.040,158.900,76.618,231.500
187.420,156.300,83.941,233.000
200.520,155.700,90.949,231.600
221.900,158.200,91.601,232.200
223.090,161.700,94.364,233.600
208.430,171.600,98.287,235.400
251.630,181.500,100.638,233.400
317.930,200.800,96.053,233.300
328.660,232.500,99.519,235.100
385.250,271.800,101.589,235.800
360.350,281.700,101.259,234.900
387.340,299.800,102.259,239.000
415.290,327.783,103.879,239.200
357.350,345.660,103.372,237.700
404.350,362.257,105.961,236.300
375.260,376.255,105.781,235.700
402.980,385.805,103.804,238.600
356.100,386.667,101.394,240.600
455.770,388.598,97.512,240.800
533.550,354.113,96.896,244.000
521.890,334.586,95.537,243.300
472.560,346.061,96.693,242.800
367.990,381.294,98.398,242.400
452.070,377.009,96.614,243.400
448.190,363.310,96.634,244.500
374.900,341.139,95.751,245.800
451.240,317.913,95.280,246.200
509.470,300.622,94.598,247.700
473.180,290.515,92.754,248.800
583.320,281.351,91.843,250.500
594.300,273.672,94.869,247.900
548.480,284.450,97.847,249.500
512.670,287.373,97.815,251.200
462.900,292.847,97.159,250.500
559.990,310.869,97.756,251.400
583.620,312.092,98.019,253.900
580.560,295.292,96.693,255.100
547.980,289.812,96.644,254.800
532.290,278.443,96.864,252.400
