rwshre,unint,capult,prd
3.22,6.966,4.374,5.376
3.207,6.992,4.374,5.372
3.224,6.646,4.366,5.367
3.251,7.526,4.359,5.355
3.265,7.461,4.353,5.344
3.278,6.595,4.345,5.332
3.343,6.342,4.356,5.311
3.34,7.277,4.356,5.294
3.347,6.662,4.355,5.285
3.371,6.914,4.34,5.277
3.382,6.822,4.353,5.24
3.401,7.007,4.344,5.219
3.44,6.908,4.341,5.198
3.455,7.211,4.355,5.179
3.478,6.328,4.375,5.184
3.48,6.925,4.356,5.18
3.482,5.096,4.365,5.171
3.511,5.909,4.38,5.163
3.495,5.91,4.383,5.161
3.506,6.472,4.385,5.164
3.474,6.423,4.405,5.185
3.475,6.928,4.41,5.191
3.482,6.577,4.41,5.187
3.492,4.934,4.407,5.169
3.5,6.294,4.407,5.167
3.503,6.732,4.404,5.176
3.469,6.425,4.43,5.186
3.49,6.104,4.431,5.191
3.474,5.846,4.435,5.197
3.445,5.789,4.428,5.212
3.451,6.109,4.431,5.212
3.424,6.986,4.451,5.215
3.425,5.396,4.44,5.211
3.437,6.323,4.451,5.218
3.441,7.096,4.461,5.214
3.431,6.055,4.464,5.208
3.408,6.831,4.481,5.222
3.396,6.218,4.457,5.235
3.368,5.675,4.459,5.246
3.381,5.816,4.447,5.248
3.385,5.888,4.448,5.252
3.368,5.482,4.462,5.249
3.373,3.561,4.464,5.252
3.385,#NAME?,4.457,5.257
3.351,6.459,4.433,5.278
3.333,5.722,4.45,5.275
3.348,6.977,4.416,5.275
3.358,6.906,4.423,5.277
3.299,6.38,4.418,5.293
3.278,6.379,4.431,5.304
3.257,5.724,4.428,5.324
3.255,5.969,4.434,5.334
3.245,6.063,4.443,5.344
