foodahe,comp _wage ratio,food mfg comp,foodmfgee,foodmfghrrs,Tot Food Mfg Comp,
16.64,1.25,20.73,3661700,165.20," 12,541,213,971.57 "," 125,412.14 "
16.76,1.24,20.85,3666400,165.20," 12,629,560,923.42 "," 126,295.61 "
16.80,1.24,20.85,3718000,165.73," 12,847,508,062.92 "," 128,475.08 "
16.91,1.24,20.96,3746700,166.80," 13,096,532,194.49 "," 130,965.32 "
16.91,1.24,20.93,3765500,167.47," 13,198,626,230.65 "," 131,986.26 "
17.05,1.24,21.11,3789200,166.93," 13,353,300,476.75 "," 133,533.00 "
17.24,1.24,21.36,3789900,167.47," 13,554,180,916.71 "," 135,541.81 "
17.42,1.24,21.58,3811800,167.60," 13,786,195,213.07 "," 137,861.95 "
17.50,1.24,21.67,3840500,168.67," 14,034,170,726.36 "," 140,341.71 "
17.78,1.24,21.99,3827000,167.73," 14,115,497,431.37 "," 141,154.97 "
17.99,1.23,22.21,3831400,167.33," 14,236,100,160.82 "," 142,361.00 "
18.10,1.23,22.31,3846300,165.87," 14,231,817,224.21 "," 142,318.17 "
18.22,1.23,22.43,3877500,164.53," 14,307,279,561.17 "," 143,072.80 "
18.38,1.23,22.60,3923000,165.20," 14,649,443,699.36 "," 146,494.44 "
18.50,1.23,22.74,3903000,165.47," 14,686,188,175.66 "," 146,861.88 "
19.05,1.23,23.39,3733800,162.80," 14,216,622,342.82 "," 142,166.22 "
19.07,1.22,23.36,3805800,166.00," 14,754,937,582.70 "," 147,549.38 "
19.02,1.22,23.23,3846900,166.80," 14,905,618,187.88 "," 149,056.18 "
19.32,1.22,23.50,3858900,166.67," 15,113,653,194.88 "," 151,136.53 "
19.78,1.21,24.03,3853000,166.67," 15,433,903,871.58 "," 154,339.04 "
20.21,1.22,24.58,3858400,166.00," 15,745,390,536.42 "," 157,453.91 "
20.54,1.22,25.08,3902400,165.47," 16,195,177,061.24 "," 161,951.77 "
20.85,1.23,25.62,3933800,165.60," 16,688,256,757.90 "," 166,882.57 "
21.12,1.23,26.05,3971000,162.93," 16,853,526,490.36 "," 168,535.26 "
21.45,1.24,26.51,3998900,161.33," 17,104,479,911.20 "," 171,044.80 "
21.71,1.24,26.85,4009800,159.33," 17,153,920,722.17 "," 171,539.21 "
22.10,1.24,27.30,4038100,160.53," 17,698,338,095.83 "," 176,983.38 "
22.28,1.23,27.50,4050200,159.60," 17,775,046,858.51 "," 177,750.47 "
22.52,1.23,27.77,4039000,160.27," 17,977,538,597.19 "," 179,775.39 "
22.72,1.23,28.01,4055500,159.20," 18,086,950,896.00 "," 180,869.51 "
,,,,,,
,,,,,,
,,0.81,,,,
