lnmfgunit
5.86
5.76
5.70
5.88
6.05
6.00
6.25
6.48
6.74
6.82
6.72
6.84
7.00
7.10
7.00
6.87
7.01
6.99
6.75
6.76
6.73
6.53
6.48
6.54
6.34
6.28
6.25
6.11
6.39
6.30
6.23
6.42
6.52
6.54
6.69
6.86
7.34
7.62
7.72
7.87
8.03
7.97
7.87
7.93
8.02
8.02
7.95
7.81
7.83
7.74
7.74
7.68
7.67
7.53
7.49
7.47
7.25
7.16
7.06
6.92
7.23
6.87
6.53
6.48
6.64
6.69
6.78
6.81
6.55
6.49
6.49
6.45
6.21
6.42
6.29
6.20
6.07
5.98
6.06
6.04
6.19
6.60
6.82
6.56
6.84
6.96
6.60
6.53
6.50
6.09
6.15
5.86
5.85
6.07
5.91
6.09
6.01
5.89
6.18
