rwshre,unint,capult,prd
4.031,5.942,4.385,5.432
4.03,5.156,4.38,5.438
4.004,6.189,4.374,5.465
3.975,6.657,4.367,5.493
4.004,6.741,4.393,5.474
4.031,6.161,4.379,5.449
4.061,6.131,4.385,5.419
4.089,5.917,4.387,5.395
4.121,5.905,4.394,5.373
4.113,5.283,4.383,5.364
4.073,4.805,4.382,5.352
4.091,5.992,4.377,5.339
4.103,5.942,4.381,5.334
4.122,2.475,4.393,5.329
4.127,5.488,4.397,5.329
4.137,4.859,4.387,5.322
4.138,5.437,4.376,5.309
4.173,5.285,4.409,5.301
4.156,4.924,4.402,5.292
4.168,5.023,4.388,5.286
4.164,5.55,4.391,5.288
4.162,5.675,4.382,5.289
4.163,5.838,4.374,5.29
4.165,5.439,4.378,5.293
4.153,5.654,4.385,5.299
4.122,5.711,4.377,5.321
4.121,5.493,4.365,5.333
4.121,5.343,4.371,5.34
4.122,5.668,4.362,5.333
4.143,4.499,4.35,5.321
4.154,4.994,4.366,5.316
4.172,4.788,4.365,5.324
4.142,5.109,4.356,5.335
4.143,5.4,4.36,5.339
4.136,5.926,4.351,5.348
4.133,5.403,4.364,5.349
4.141,5.975,4.352,5.343
4.151,5.923,4.348,5.331
4.166,5.221,4.333,5.312
4.19,5.628,4.35,5.297
4.201,5.4,4.343,5.289
4.201,5.252,4.355,5.285
4.198,5.733,4.352,5.287
4.21,5.719,4.363,5.288
4.198,5.661,4.362,5.298
4.188,5.992,4.363,5.305
4.19,5.368,4.374,5.306
4.202,5.854,4.376,5.305
4.184,5.811,4.364,5.316
4.208,6.412,4.369,5.305
4.212,5.919,4.371,5.309
4.234,5.288,4.385,5.314
4.23,4.822,4.385,5.315
