prd,unint,capult,rwshre
4.347,6.282,4.381,3.145
4.363,5.833,4.356,3.125
4.389,5.248,4.372,3.094
4.402,5.997,4.368,3.067
4.395,6.149,4.367,3.083
4.366,6.031,4.347,3.062
4.35,5.819,4.341,3.103
4.33,5.477,4.338,3.119
4.312,5.571,4.325,3.135
4.297,5.442,4.322,3.154
4.282,5.394,4.312,3.154
4.264,6.005,4.307,3.185
4.279,6.097,4.303,3.179
4.301,5.421,4.295,3.172
4.334,5.436,4.293,3.138
4.348,5.327,4.289,3.14
4.347,4.887,4.255,3.138
4.328,5.003,4.291,3.182
4.309,6.054,4.31,3.188
4.31,5.448,4.309,3.209
4.294,5.543,4.317,3.224
4.298,5.94,4.306,3.218
4.313,5.956,4.307,3.219
4.337,5.421,4.305,3.198
4.355,4.881,4.309,3.196
4.367,4.956,4.315,3.171
4.375,5.303,4.307,3.147
4.388,5.348,4.305,3.159
4.39,5.944,4.31,3.161
4.388,5.992,4.288,3.145
4.393,5.52,4.307,3.123
4.4,5.473,4.304,3.114
4.432,5.548,4.304,3.094
4.431,5.465,4.313,3.109
4.43,5.591,4.315,3.11
4.424,5.667,4.312,3.105
4.421,5.92,4.311,3.091
4.431,6.215,4.312,3.098
4.436,5.904,4.316,3.104
4.427,6.286,4.324,3.108
4.403,6.279,4.323,3.15
4.362,6.177,4.31,3.184
4.348,5.679,4.322,3.208
4.361,6.5,4.329,3.191
4.395,6.254,4.324,3.155
4.427,5.767,4.308,3.114
4.447,6.094,4.319,3.096
4.462,6.274,4.329,3.095
4.465,6.674,4.327,3.082
4.453,6.83,4.323,3.089
4.438,6.114,4.313,3.101
4.432,5.299,4.303,3.119
4.427,5.7,4.293,3.119
