lnprdty
208.28
209.10
210.72
213.09
216.17
218.25
219.38
219.59
218.90
219.34
220.90
223.53
227.15
230.25
232.86
235.02
236.76
239.24
242.40
246.18
250.51
254.22
257.37
260.01
262.18
264.67
267.47
270.54
273.85
278.27
283.66
289.85
296.69
302.62
307.77
312.24
316.11
320.09
324.17
328.32
332.52
336.75
340.97
345.20
349.41
354.13
359.27
364.75
370.53
376.37
382.25
388.15
394.04
397.99
400.21
400.81
399.82
399.40
399.55
400.28
401.56
403.68
406.58
410.19
414.44
418.33
421.89
425.14
428.12
430.65
432.75
434.45
435.78
437.25
438.86
440.60
442.47
444.43
446.48
448.60
450.80
453.04
455.31
457.61
459.94
460.85
460.37
458.49
455.13
453.34
453.22
454.78
457.93
460.68
463.07
465.10
466.82
467.51
467.21
465.91
463.55
461.96
461.15
461.17
461.99
462.37
462.30
461.79
460.83
460.15
459.76
459.66
459.87
459.67
459.07
458.06
456.63
455.97
456.08
456.97
458.61
460.02
461.21
462.19
462.95
463.25
463.08
462.45
461.33
460.35
459.48
458.75
458.15
458.47
459.70
461.81
464.73
466.30
466.56
465.53
463.17
461.46
460.41
460.07
460.44
460.71
460.89
460.98
