ip.lg,fsi,ff,ppi.lg
4.585428597,-0.522913175,4.16,5.093750201
4.587005197,-0.495562526,4.29,5.101694025
4.587426697,-0.601095251,4.49,5.086361005
4.589678812,-0.573976528,4.59,5.088830142
4.59271089,-0.462514783,4.79,5.101694025
4.592965005,-0.703793422,4.94,5.110782243
4.596126414,-0.46201428,4.99,5.112590017
4.595613668,-0.430744338,5.24,5.11679549
4.599992806,-0.592868968,5.25,5.123368564
4.598329844,-0.53453344,5.25,5.108366783
4.597182368,-0.642342522,5.25,5.088830142
4.596761936,-0.747270593,5.25,5.103518288
4.606903683,-0.687915084,5.24,5.109575242
4.603514817,-0.72922153,5.25,5.099866428
4.612893286,-0.733353214,5.26,5.11679549
4.614671901,-0.503371007,5.26,5.131672289
4.621372221,-0.276672247,5.25,5.144000006
4.622328143,-0.577601752,5.25,5.155024197
4.622904991,-0.593036611,5.25,5.157905213
4.621704734,-0.220169269,5.26,5.165357239
4.623628773,0.730652327,5.02,5.149817358
4.6258489,0.337449138,4.94,5.156177599
4.623024839,0.330315658,4.76,5.163070217
4.628345551,0.980841698,4.49,5.187385806
4.628694311,1.045003342,4.24,5.185148668
4.627369938,1.534567396,3.94,5.198497031
4.623440267,1.276217357,2.98,5.207845463
4.620389778,1.923097081,2.61,5.235909906
4.613916822,1.611799219,2.28,5.251749731
4.607840617,1.025604285,1.98,5.281171208
4.60550513,1.675803365,2,5.300814247
4.601924926,2.458805859,2.01,5.325446034
4.58610051,1.752544139,2,5.293304825
4.541052909,2.802028851,1.81,5.282695986
4.55094523,5.735320545,0.97,5.227894902
4.537656577,5.790260188,0.39,5.17501915
4.50905238,5.631425165,0.16,5.14107859
4.4837932,5.77108905,0.15,5.142832464
4.477689025,4.846127316,0.22,5.131672289
4.46190933,4.818278054,0.18,5.12455904
4.453584214,4.688144165,0.15,5.130490256
4.443433304,3.20543154,0.18,5.140493281
4.439657368,1.862405672,0.21,5.159629847
4.45088433,1.832079461,0.16,5.150397236
4.461791611,1.336492821,0.16,5.164785974
4.470567362,0.891875002,0.15,5.159629847
4.473259194,0.854073899,0.12,5.165928179
4.477587919,0.858917842,0.12,5.17840707
4.481637779,0.581950056,0.12,5.18234519
4.492478418,0.595333139,0.11,5.203457086
4.496224362,0.338892594,0.13,5.198497031
4.503057723,0.000871488,0.16,5.211124155
4.506444279,-0.115321935,0.2,5.217107311
4.519862811,0.57664221,0.2,5.219274159
4.521710313,0.530065221,0.18,5.212214667
4.525500159,0.475595295,0.18,5.215479088
4.529158094,0.217291068,0.19,5.219815138
4.53210152,0.149770624,0.19,5.219815138
4.529263828,0.184828699,0.19,5.228967288
4.530133013,-0.018956506,0.19,5.234844944
4.539870842,-0.103339886,0.18,5.245443877
4.537762486,-0.229644143,0.17,5.261134575
4.533783738,-0.432721933,0.16,5.27709373
4.544132729,-0.314150524,0.14,5.294309345
4.54089723,-0.400455036,0.1,5.313698469
4.542102583,-0.392173838,0.09,5.31861007
4.545122897,-0.190008612,0.09,5.317629678
4.550037953,-0.123119529,0.07,5.321056854
4.556766397,0.731961875,0.1,5.314190716
4.555938975,0.861213452,0.08,5.316648323
4.562855411,0.871653805,0.07,5.303802297
4.56276882,0.586162998,0.08,5.30529298
4.568061082,0.539831703,0.07,5.297316866
4.574007638,0.43542633,0.08,5.301811256
4.577218142,0.069693803,0.1,5.306285536
4.572026967,-0.121464737,0.13,5.319099906
4.579194726,-0.088975119,0.14,5.316648323
4.581501274,0.14612797,0.16,5.307772525
4.581556566,0.12323206,0.16,5.297316866
4.58365335,0.041544863,0.16,5.298817242
4.57936508,-0.254272804,0.13,5.311727053
4.57863112,-0.408459421,0.14,5.320078858
4.582099083,-0.262162851,0.16,5.315666005
4.585760022,-0.381833366,0.16,5.307277108
4.588126769,-0.432907242,0.16,5.305789381
4.588371881,-0.488724011,0.14,5.310739887
4.593037886,-0.573330286,0.15,5.319589502
4.597058374,-0.554408599,0.14,5.318119994
4.596195029,-0.486540705,0.15,5.315666005
4.596975703,-0.581355118,0.11,5.31861007
4.599048487,-0.372787383,0.09,5.319589502
4.595941735,-0.509499948,0.09,5.320078858
4.601707197,-0.694641678,0.08,5.319099906
4.606778891,-0.603170466,0.08,5.317629678
4.60598985,-0.653384163,0.09,5.310739887
4.60832321,-0.829057591,0.08,5.304299438
4.610331842,-0.916670087,0.09,5.308267697
4.606767909,-0.868058915,0.07,5.317139121
4.614296415,-0.760545601,0.07,5.326418797
4.62393502,-0.776968303,0.08,5.332718793
4.624902223,-0.82962977,0.09,5.338979348
4.628726544,-0.972265296,0.09,5.33753808
4.632152857,-1.041660557,0.1,5.338979348
4.634371643,-0.915993042,0.09,5.33753808
4.632481805,-0.849729114,0.09,5.332718793
4.635351125,-0.83664292,0.09,5.329816034
4.635470461,-0.392551436,0.09,5.315174484
4.641623612,-0.694166934,0.09,5.302807272
4.641544544,-0.490735823,0.12,5.283203729
4.633665316,-0.174867237,0.11,5.257495372
4.627259413,-0.40628394,0.11,5.252796851
4.62390754,-0.47768376,0.11,5.254887809
4.618436794,-0.54042762,0.12,5.251749731
4.614013964,-0.735281603,0.12,5.264760583
4.610863946,-0.629415303,0.13,5.271973391
4.617324028,-0.452403193,0.13,5.267342562
4.615483817,-0.264107808,0.14,5.256974403
4.61268885,-0.072218401,0.14,5.242275976
4.607841615,-0.230892039,0.12,5.233778845
4.600457097,-0.364518723,0.12,5.224132468
4.595540974,-0.083660705,0.24,5.212214667
4.600767508,0.32307561,0.34,5.207297968
4.595569244,0.50561298,0.38,5.200153118
4.588121683,-0.017511488,0.36,5.204555987
4.591498148,-0.09301228,0.37,5.210578452
4.589227778,-0.254773737,0.37,5.221976133
4.593940367,-0.111180543,0.38,5.234312037
4.595111769,-0.227579399,0.39,5.234844944
4.59360355,-0.334534611,0.4,5.228967288
4.592547859,-0.321569461,0.4,5.230573714
4.592703803,-0.432196139,0.4,5.229503051
4.588523394,-0.230859471,0.41,5.227358278
4.595335988,-0.612984897,0.54,5.237505227
4.592703803,-0.546962044,0.65,5.250701513
4.588680983,-0.664656543,0.66,5.255409866
4.595258224,-0.622309772,0.79,5.254887809
4.605394161,-0.537730044,0.9,5.262690189
4.606577196,-0.726934285,0.91,5.261653382
4.608635176,-0.578835738,1.04,5.265794175
4.606237616,-0.696863498,1.15,5.265277512
4.602090448,-0.754053208,1.16,5.266826699
4.60312209,-0.720150914,1.15,5.271973391
4.615365041,-0.799423788,1.15,5.272486607
4.617754668,-0.76312942,1.16,5.277604325
4.619707998,-0.74486492,1.3,5.279644101
4.619689272,-0.842354846,1.41,5.287761853
4.622110879,-0.536943073,1.42,5.294811227
4.626997233,-0.63365028,1.51,5.294811227
4.637955815,-0.369018888,1.69,5.299816243
4.62891015,-0.590505629,1.7,5.314190716
4.636649473,-0.595741917,1.82,5.319099906
4.638262544,-0.441105459,1.91,5.319589502
4.644705273,-0.731369314,1.91,5.315174484
4.645355818,-0.766404131,1.95,5.316157285
4.644252428,-0.370861014,2.19,5.321056854
4.645045493,-0.369353197,2.2,5.309751744
4.645290494,-0.048461958,2.27,5.303304908
4.638625271,-0.072340529,2.4,5.293807211
4.633146183,-0.52002373,2.4,5.294309345
4.633521463,-0.428085109,2.41,5.302309388
4.627655486,-0.484961731,2.42,5.308762624
4.628808585,-0.419488818,2.39,5.306781445
4.629252857,-0.350443454,2.38,5.299816243
4.624392253,-0.569963894,2.4,5.301811256
4.631217977,-0.320394688,2.13,5.294309345
4.627828536,-0.402278463,2.04,5.290285195
4.619350173,-0.404803276,1.83,5.291292752
4.624356937,-0.651225753,1.55,5.293304825
4.622030253,-0.650025022,1.55,5.293304825
4.615455114,-0.598416751,1.55,5.294811227
4.618811716,-0.39963729,1.58,5.281679725
4.57890629,2.356305621,0.65,5.263208189
4.437483811,1.752986602,0.05,5.223054882
4.453886725,0.926696358,0.05,5.23962837
4.517359217,0.523428534,0.08,5.253320001
4.554146329,0.32814038,0.09,5.262690189
4.563878289,-0.034563843,0.1,5.269403356
4.56400334,0.122667873,0.09,5.275560379
4.572020765,0.245710586,0.09,5.280662431
4.575551862,0.256866024,0.09,5.289781036
4.588664717,-0.380190166,0.09,5.300814247
4.593929243,-0.237954569,0.09,5.322033893
4.560328666,-0.464133065,0.08,5.3499606
4.588894452,-0.300990731,0.07,5.370638028
4.59065231,-0.754242395,0.07,5.384036242
4.599487068,-0.808284291,0.06,5.415655859
4.603155157,-0.730838017,0.08,5.433285227
4.607686019,-0.718869499,0.1,5.446090611
4.605607091,-0.722846452,0.09,5.452817985
4.593683465,-0.754779945,0.08,5.462466467
4.607029456,-0.612590129,0.08,5.482574549
4.613786955,-0.69437527,0.08,5.494241816
4.610879855,-0.582697319,0.08,5.486198441
4.607024466,-0.335073078,0.08,5.507171306
4.613201846,-0.333261266,0.08,5.532044711
4.618981371,-0.107356884,0.2,5.560735476
4.619467491,-0.344016903,0.33,5.580898954
4.618417057,-0.040042158,0.77,5.610390787
4.615298719,0.048335104,1.21,5.63568563
4.617326004,0.012835066,1.68,5.606808912
4.616073528,-0.145444438,2.33,5.596739062
4.61800546,-0.042312532,2.56,5.590606311
4.617621348,0.509970087,3.08,5.579959988
4.614676854,-0.016674313,3.78,5.572750812
4.602831453,-0.067243817,4.1,5.55256028
4.610207478,-0.085851591,4.33,5.561554327
4.611565691,-0.331841842,4.57,5.555549252
4.615323467,0.67421637,4.65,5.549317301
4.617622335,0.186923758,4.83,5.548718044
4.614413336,0.289743612,5.06,5.53603421
4.606365471,0.140790443,5.08,5.536782934
4.614196328,0.164981429,5.12,5.53668445
4.613528161,-0.277820235,5.33,5.551718505
4.615329406,-0.347668369,5.33,5.556573203
4.609848227,-0.001389532,5.33,5.542016203
4.613772083,-0.321087139,5.33,5.532820157
4.611183072,-0.379807883,5.33,5.520924774
4.597362787,-0.379462873,5.33,5.52667132
4.608016132,-0.493524967,5.33,5.540973307
4.609734752,-0.514046495,5.33,5.541636025
4.607601229,-0.47480693,5.33,5.548990478
4.61376316,-0.69077396,5.33,5.542490243
4.614070461,-0.643545373,5.33,5.544841451
4.604927156,-0.324946335,5.33,5.550324333
4.609469929,-0.403564586,5.33,5.543077585
4.603252348,-0.441948341,5.13,5.532131781
4.599851065,-0.350732488,4.83,5.533709596
4.598070039,-0.424971565,4.64,5.534223133
4.608437841,-0.790749224,4.48,5.535060029
4.605816977,-0.771863773,4.33,5.550475883
4.616103202,-0.792616999,4.33,5.558748995
4.615520437,-0.550083627,4.33,5.554992401
4.616386052,0.068077702,4.33,5.554477812
4.614895739,-0.502054984,4.33,5.555584045
4.619349187,-0.635306071,4.33,5.562533761
4.620954949,-0.713471741,4.33,5.569729041
4.618382517,-0.80564838,4.33,5.568741372
4.619348201,-0.838897434,4.22,5.56965662
