rwshre,unint,capult,prd
4.6138,6.5805,4.2491,5.3470
4.6330,7.0795,4.2596,5.3241
4.6606,6.1342,4.2658,5.2947
4.6659,5.9414,4.2650,5.2780
4.6738,6.1108,4.2789,5.2691
4.6828,6.2334,4.2922,5.2697
4.6742,5.7798,4.3014,5.2786
4.6748,5.6207,4.3044,5.2884
4.6609,5.4109,4.2983,5.2944
4.6503,5.9014,4.2721,5.3032
4.6318,5.7397,4.2638,5.3084
4.6193,5.4769,4.2705,5.3164
4.5884,6.3352,4.2764,5.3192
4.5668,5.4325,4.2675,5.3412
4.5270,5.8410,4.2499,5.3771
4.4598,5.6608,4.2540,5.4270
4.4463,5.9839,4.2750,5.4534
4.4177,5.5685,4.2703,5.4670
4.4165,6.1738,4.2531,5.4718
4.4025,6.4764,4.2543,5.4872
4.3755,6.0968,4.2751,5.5301
4.3023,6.1294,4.2824,5.5871
4.3058,6.1590,4.2513,5.5897
4.3294,6.5370,4.2248,5.5474
4.2704,6.2828,3.9780,5.5426
4.2891,6.7161,3.9387,5.5330
4.2967,7.1182,3.9964,5.5368
4.2083,7.1378,4.0523,5.6416
4.1850,7.3657,4.1062,5.6891
4.1783,7.1916,4.1525,5.7062
4.2116,6.3065,4.1731,5.6837
4.2394,6.3767,4.1993,5.6599
4.2448,6.2384,4.1952,5.6545
4.2646,6.4297,4.2117,5.6464
4.2910,6.9569,4.1934,5.6288
4.3203,6.8669,4.2202,5.5982
4.3466,6.7469,4.2520,5.5626
4.3689,6.4018,4.2440,5.5404
4.4076,6.9803,4.2609,5.5256
4.3984,7.0070,4.2826,5.5112
4.4185,6.0605,4.2873,5.4866
4.4557,6.1199,4.2987,5.4385
4.5510,6.5818,4.3211,5.3417
4.5939,6.7377,4.3221,5.3008
4.5649,6.8155,4.3107,5.3266
4.4795,7.0134,4.2914,5.4014
4.4714,6.7062,4.3084,5.4455
4.4304,6.6779,4.2961,5.4693
4.4347,6.5752,4.3100,5.4669
4.4472,6.0123,4.3187,5.4747
4.4056,6.0983,4.3058,5.4866
4.3778,6.1091,4.3163,5.5105
4.3633,5.8456,4.2922,5.5372
4.3218,5.9121,4.2795,5.5652
4.3052,6.3825,4.2905,5.6052
4.2624,6.0499,4.2518,5.6466
4.2175,5.1757,4.2269,5.6784
4.2037,5.4866,4.2573,5.7115
4.1791,5.7060,4.2689,5.7146
4.2168,5.9014,4.2641,5.6828
4.2597,5.6297,4.2723,5.6363
4.2909,5.9725,4.2607,5.6073
4.2855,6.1591,4.2637,5.6127
4.2379,5.6272,4.2491,5.6464
4.2059,5.9638,4.2469,5.6838
4.1803,6.0720,4.2586,5.7255
4.1215,6.5305,4.2366,5.7760
4.1466,6.4569,4.2478,5.7679
4.1706,5.5716,4.2443,5.7317
4.2313,5.7895,4.2193,5.6678
4.2715,5.4983,4.2234,5.6363
4.2369,6.2538,4.2253,5.6501
4.1805,5.3964,4.2053,5.7081
4.1570,4.7426,4.2350,5.7529
4.1236,5.5647,4.1887,5.7884
4.0827,5.6779,4.1956,5.8240
4.0532,6.2428,4.2159,5.8513
4.0393,6.4057,4.2010,5.8754
4.0121,6.7536,4.1824,5.8840
4.0090,5.6699,4.1706,5.9076
3.9896,6.2307,4.1861,5.9371
3.9370,6.3376,4.1893,5.9751
3.9507,6.3333,4.1799,5.9669
4.0143,6.8049,4.1901,5.9262
4.0939,6.4589,4.1938,5.8296
4.1164,6.5523,4.1788,5.7874
4.1207,6.6771,4.2077,5.7968
4.0694,6.5095,4.2068,5.8623
3.9901,6.4114,4.2161,5.8988
3.9692,6.2093,4.2199,5.9107
3.9808,5.9353,4.2153,5.9042
3.9982,5.4578,4.1954,5.8955
4.0030,5.5830,4.2024,5.8894
