Mfg Unit
350
317.03
300.34
358.38
422.36
403.31
516.55
652.7
848.38
914.32
825.81
936.49
1100.27
1212.97
1098.11
964.73
1102.5
1082.23
855.88
859.46
837.97
686.89
652.23
690.81
565.54
534.66
518.04
448.65
593.65
542.03
505.81
611.15
675.41
692.64
804.93
954.66
1546.28
2043.92
2245.95
2629.59
3064.86
2902.16
2628.18
2774.46
3026.08
3055
2842.16
2466.49
2509.86
2308.11
2297.91
2161.49
2140.54
1862.16
1783.78
1755.41
1412.16
1291.22
1158.78
1015.95
1381.82
964.05
687.03
654.05
764.05
801.89
882.57
905.88
700
657.43
658.78
634.46
496.22
615.41
539.19
493.78
433.58
394.05
428.11
421.28
487.84
732.97
914.59
708.18
933.65
1049.26
732.57
682.84
664.46
441.89
469.19
351.35
346.22
432.36
370.34
441.96
406.35
361.35
484.73
558.108
