,Monthly Nominal GDP Index,Monthly Real GDP Index
2006 - Oct,13966.361,16488.691
2006 - Nov,14060.071,16601.567
2006 - Dec,14092.247,16597.609
2007 - Jan,14135.648,16580.268
2007 - Feb,14289.282,16684.079
2007 - Mar,14222.023,16572.876
2007 - Apr,14360.845,16709.208
2007 - May,14402.470,16703.460
2007 - Jun,14442.931,16729.164
2007 - Jul,14426.562,16673.999
2007 - Aug,14597.899,16863.527
2007 - Sep,14667.889,16893.029
2007 - Oct,14661.493,16875.563
2007 - Nov,14717.175,16900.415
2007 - Dec,14766.506,16971.356
2008 - Jan,14805.797,16995.308
2008 - Feb,14626.446,16752.650
2008 - Mar,14687.372,16783.022
2008 - Apr,14752.825,16841.216
2008 - May,14802.372,16891.163
2008 - Jun,15041.906,17098.843
2008 - Jul,14969.450,16968.679
2008 - Aug,14923.143,16898.155
2008 - Sep,14804.404,16697.497
2008 - Oct,14696.029,16568.179
2008 - Nov,14697.859,16584.738
2008 - Dec,14430.739,16304.202
2009 - Jan,14478.740,16347.813
2009 - Feb,14444.512,16291.881
2009 - Mar,14369.454,16255.839
2009 - Apr,14360.646,16254.250
2009 - May,14374.194,16274.626
2009 - Jun,14408.869,16279.155
2009 - Jul,14379.120,16264.812
2009 - Aug,14478.275,16346.728
2009 - Sep,14489.251,16368.018
2009 - Oct,14692.138,16568.611
2009 - Nov,14668.485,16516.252
2009 - Dec,14593.123,16424.114
2010 - Jan,14706.913,16525.705
2010 - Feb,14736.818,16562.620
2010 - Mar,14850.099,16660.214
2010 - Apr,14946.424,16725.564
2010 - May,14955.915,16713.627
2010 - Jun,15038.241,16790.894
2010 - Jul,15115.384,16870.089
2010 - Aug,15103.140,16829.083
2010 - Sep,15206.297,16918.181
2010 - Oct,15278.898,16955.934
2010 - Nov,15264.903,16904.782
2010 - Dec,15384.621,17022.519
2011 - Jan,15255.649,16862.696
2011 - Feb,15283.554,16841.870
2011 - Mar,15515.142,17057.894
2011 - Apr,15583.887,17096.853
2011 - May,15567.146,17037.787
2011 - Jun,15521.585,16971.373
2011 - Jul,15622.113,17031.979
2011 - Aug,15720.855,17102.228
2011 - Sep,15600.072,16960.414
2011 - Oct,15851.334,17249.362
2011 - Nov,15842.274,17209.123
2011 - Dec,15833.168,17210.034
2012 - Jan,15934.136,17263.350
2012 - Feb,16213.912,17513.333
2012 - Mar,16058.368,17324.898
2012 - Apr,16178.055,17411.151
2012 - May,16227.295,17479.400
2012 - Jun,16215.995,17443.618
2012 - Jul,16324.027,17522.809
2012 - Aug,16277.612,17418.508
2012 - Sep,16356.984,17468.268
2012 - Oct,16343.636,17414.507
2012 - Nov,16410.063,17490.265
2012 - Dec,16507.558,17565.469
2013 - Jan,16684.338,17726.110
2013 - Feb,16602.490,17600.904
2013 - Mar,16657.739,17660.828
2013 - Apr,16674.606,17690.626
2013 - May,16672.361,17657.679
2013 - Jun,16839.094,17781.300
2013 - Jul,16874.504,17796.185
2013 - Aug,16988.696,17896.959
2013 - Sep,16998.314,17888.794
2013 - Oct,17113.674,17981.169
2013 - Nov,17222.640,18055.709
2013 - Dec,17239.744,18012.077
2014 - Jan,17122.853,17884.246
2014 - Feb,17219.826,17991.309
2014 - Mar,17250.535,17986.867
2014 - Apr,17404.808,18109.725
2014 - May,17542.643,18199.898
2014 - Jun,17608.072,18248.617
2014 - Jul,17756.878,18371.445
2014 - Aug,17860.503,18466.172
2014 - Sep,17795.302,18383.767
2014 - Oct,17902.542,18491.411
2014 - Nov,17918.309,18501.317
2014 - Dec,17915.386,18507.864
2015 - Jan,18001.933,18651.203
2015 - Feb,18125.056,18732.136
2015 - Mar,18063.598,18616.957
2015 - Apr,18242.034,18783.446
2015 - May,18257.742,18750.117
2015 - Jun,18339.576,18813.488
2015 - Jul,18370.523,18823.078
2015 - Aug,18376.213,18827.742
2015 - Sep,18458.142,18921.747
2015 - Oct,18468.524,18916.617
2015 - Nov,18389.377,18839.206
2015 - Dec,18447.510,18921.015
2016 - Jan,18494.802,18980.578
2016 - Feb,18466.970,18956.239
2016 - Mar,18616.027,19068.548
2016 - Apr,18690.960,19078.057
2016 - May,18695.646,19050.435
2016 - Jun,18748.500,19059.851
2016 - Jul,18794.633,19115.433
2016 - Aug,18879.509,19193.590
2016 - Sep,19003.775,19284.823
2016 - Oct,18982.273,19217.850
2016 - Nov,19104.978,19331.280
2016 - Dec,19180.886,19363.944
2017 - Jan,19221.297,19348.881
2017 - Feb,19261.716,19374.882
2017 - Mar,19357.238,19471.308
2017 - Apr,19323.239,19396.721
2017 - May,19439.105,19514.839
2017 - Jun,19553.585,19609.329
2017 - Jul,19583.731,19604.089
2017 - Aug,19662.147,19634.439
2017 - Sep,19831.907,19743.744
2017 - Oct,19880.075,19758.113
2017 - Nov,20068.419,19912.881
2017 - Dec,20162.770,19975.998
2018 - Jan,20256.879,20006.994
2018 - Feb,20380.084,20092.344
2018 - Mar,20348.696,20032.865
2018 - Apr ,20470.096,20086.389
2018 - May,20621.602,20183.656
2018 - Jun,20651.038,20181.393
2018 - Jul,20752.226,20258.872
2018 - Aug,20813.641,20294.341
2018 - Sep,20830.323,20275.282
2018 - Oct,20888.369,20281.916
2018 - Nov,20912.731,20302.744
2018 - Dec,20952.501,20329.987
2019 - Jan,21088.318,20443.423
2019 - Feb,21077.053,20392.264
2019 - Mar,21169.429,20459.281
2019 - Apr,21310.708,20529.286
2019 - May,21370.241,20575.479
2019 - Jun,21512.865,20702.118
2019 - Jul,21679.562,20812.711
2019 - Aug,21711.249,20839.736
2019 - Sep,21760.702,20877.545
2019 - Oct,21805.422,20898.654
2019 - Nov,21969.747,21027.945
2019 - Dec,22024.482,21029.965
2020 - Jan,22079.768,21014.401
2020 - Feb,22119.406,21057.555
2020 - Mar,21054.540,20056.622
2020 - Apr,19028.902,18246.985
2020 - May,19899.405,19040.782
2020 - Jun,20946.566,19948.693
2020 - Jul,21485.528,20378.913
2020 - Aug,21682.636,20538.116
2020 - Sep,21945.147,20763.837
2020 - Oct,22101.383,20869.625
2020 - Nov,21956.300,20683.654
2020 - Dec,22203.797,20826.237
2021 - Jan,22617.575,21109.872
2021 - Feb,22404.386,20835.619
2021 - Mar,23020.118,21305.052
2021 - Apr,23235.166,21405.550
2021 - May,23426.520,21442.592
2021 - June,23616.044,21478.612
2021 - July,23834.987,21575.609
2021 - Aug,23960.774,21582.427
2021 - Sep,24151.376,21699.277
2021 - Oct,24623.864,21943.249
2021 - Nov,24752.843,21918.674
2021 - Dec,25064.092,22108.345
2022 - Jan,25025.085,21907.348
2022 - Feb,25159.163,21871.879
2022 - Mar,25566.793,22022.940
2022 - Apr,25643.992,21996.924
2022 - May,25852.413,21969.354
2022 - Jun,26087.471,21939.048
2022 - Jul,26138.996,22021.521
2022 - Aug,26439.773,22209.752
2022 - Sep,26430.144,22149.948
2022 - Oct,26693.700,22246.675
2022 - Nov,26820.175,22286.424
2022 - Dec,26797.667,22306.179
2023 - Jan,27122.662,22429.688
2023 - Feb,27149.363,22366.983
2023 - Mar,27377.310,22526.232
2023 - Apr,27433.838,22530.379
2023 - May,27492.357,22573.491
2023 - Jun,27663.970,22641.682
2023 - Jul,27835.200,22739.386
