rwshare,urintensity,capult.chem,ppi.chem
3.17,6.011,4.397,5.79
3.145,6.282,4.381,5.801
3.125,5.833,4.356,5.803
3.094,5.248,4.372,5.817
3.067,5.997,4.368,5.825
3.083,6.149,4.367,5.827
3.062,6.031,4.347,5.839
3.103,5.818,4.341,5.85
3.119,5.477,4.338,5.863
3.135,5.571,4.325,5.885
3.154,5.442,4.322,5.896
3.154,5.394,4.312,5.908
3.185,6.005,4.307,5.906
3.179,6.097,4.303,5.904
3.172,5.421,4.295,5.9
3.138,5.436,4.293,5.895
3.14,5.327,4.289,5.889
3.138,4.887,4.255,5.882
3.182,5.003,4.291,5.886
3.188,6.054,4.31,5.891
3.209,5.448,4.309,5.893
3.224,5.543,4.317,5.894
3.218,5.94,4.306,5.89
3.219,5.956,4.307,5.88
3.198,5.421,4.305,5.868
3.196,4.881,4.309,5.864
3.171,4.956,4.315,5.863
3.147,5.303,4.307,5.867
3.159,5.348,4.305,5.862
3.161,5.944,4.31,5.859
3.145,5.992,4.288,5.853
3.123,5.52,4.307,5.858
3.114,5.473,4.304,5.857
3.094,5.548,4.304,5.864
3.109,5.465,4.313,5.865
3.11,5.591,4.315,5.866
3.105,5.667,4.312,5.872
3.091,5.92,4.311,5.872
3.098,6.215,4.312,5.869
3.104,5.904,4.316,5.866
3.108,6.286,4.324,5.863
3.15,6.279,4.323,5.863
3.175,6.177,4.31,5.869
3.171,5.679,4.322,5.876
3.156,6.5,4.329,5.879
3.12,6.254,4.324,5.878
3.086,5.767,4.308,5.874
3.063,6.094,4.319,5.876
3.055,6.274,4.329,5.879
3.039,6.674,4.327,5.881
3.035,6.83,4.323,5.881
3.032,6.114,4.313,5.877
3.041,5.299,4.303,5.875
3.041,5.7,4.291,5.872
