rwshr.lg,gdpdf.lg,urint.lg,capult.lg,ff,lbrprd.lg,fsi,ip.lg,ppi.lg
4.086,4.704,7.5,4.354,0.1,5.564,-0.724,4.608,5.446
4.088,4.709,7.433,4.353,0.09,5.564,-0.724,4.606,5.453
4.101,4.714,7.317,4.342,0.08,5.564,-0.757,4.594,5.462
4.105,4.72,7.212,4.357,0.08,5.564,-0.619,4.607,5.483
4.108,4.726,7.218,4.364,0.08,5.564,-0.695,4.614,5.494
4.112,4.732,7.112,4.361,0.08,5.564,-0.584,4.611,5.486
4.111,4.739,7.004,4.358,0.08,5.564,-0.342,4.607,5.507
4.109,4.746,7.024,4.364,0.08,5.563,-0.335,4.613,5.532
4.108,4.754,6.914,4.37,0.2,5.563,-0.109,4.619,5.561
4.106,4.762,6.938,4.37,0.33,5.563,-0.348,4.619,5.581
4.105,4.769,6.809,4.368,0.77,5.563,-0.03,4.618,5.61
4.104,4.774,6.805,4.365,1.21,5.563,0.047,4.615,5.636
4.108,4.776,6.772,4.366,1.68,5.563,0.016,4.617,5.607
4.109,4.779,6.809,4.364,2.33,5.563,-0.137,4.616,5.597
4.11,4.782,6.678,4.364,2.56,5.563,-0.044,4.618,5.591
4.102,4.786,6.735,4.363,3.08,5.563,0.499,4.618,5.58
4.099,4.789,6.768,4.359,3.78,5.563,-0.019,4.615,5.573
4.096,4.792,6.637,4.346,4.1,5.563,-0.069,4.603,5.553
4.099,4.796,6.683,4.352,4.33,5.563,-0.087,4.61,5.562
4.096,4.798,6.66,4.352,4.57,5.563,-0.334,4.612,5.556
4.093,4.8,6.642,4.354,4.65,5.563,0.662,4.615,5.549
4.094,4.801,6.683,4.355,4.83,5.563,0.194,4.618,5.549
4.095,4.803,6.754,4.351,5.06,5.563,0.288,4.614,5.536
4.097,4.806,6.73,4.342,5.08,5.563,0.136,4.606,5.537
4.1,4.809,6.697,4.349,5.12,5.563,0.16,4.614,5.537
4.101,4.812,6.743,4.347,5.33,5.564,-0.277,4.614,5.552
4.101,4.813,6.818,4.348,5.33,5.564,-0.349,4.615,5.557
4.1,4.814,6.848,4.342,5.33,5.564,-0.003,4.61,5.542
4.101,4.815,6.693,4.345,5.33,5.564,-0.333,4.614,5.533
4.101,4.817,6.854,4.342,5.33,5.564,-0.381,4.611,5.521
4.096,4.821,6.762,4.327,5.33,5.564,-0.383,4.597,5.527
4.099,4.823,6.82,4.337,5.33,5.564,-0.491,4.608,5.541
4.099,4.826,6.853,4.339,5.33,5.564,-0.516,4.61,5.542
4.098,4.828,6.776,4.336,5.33,5.564,-0.466,4.608,5.549
4.1,4.83,6.859,4.341,5.33,5.564,-0.692,4.614,5.542
4.098,4.831,6.86,4.341,5.33,5.564,-0.645,4.614,5.545
4.099,4.832,6.879,4.331,5.33,5.564,-0.312,4.605,5.55
4.102,4.834,6.899,4.334,5.33,5.564,-0.405,4.609,5.543
4.102,4.835,6.948,4.327,5.13,5.564,-0.445,4.603,5.532
4.101,4.837,6.961,4.323,4.83,5.564,-0.355,4.6,5.534
4.102,4.84,7.015,4.32,4.64,5.564,-0.42,4.598,5.534
4.102,4.843,6.996,4.329,4.48,5.564,-0.797,4.608,5.535
4.1,4.846,6.896,4.325,4.33,5.564,-0.731,4.606,5.55
4.1,4.849,6.889,4.334,4.33,5.564,-0.797,4.616,5.559
4.099,4.851,6.981,4.332,4.33,5.564,-0.551,4.616,5.555
4.094,4.853,6.998,4.333,4.33,5.564,0.065,4.618,5.554
4.101,4.854,6.936,4.331,4.33,5.564,-0.514,4.616,5.556
4.1,4.855,6.966,4.334,4.33,5.564,-0.638,4.621,5.563
