rwshr.lg,gdpdf.lg,urint.lg,capult.lg,ff,lbrprd.lg,fsi,ip.lg,ppi.lg
4.2,4.246,6.68,4.432,5.51,5.55,-0.222,4.436,4.828
4.199,4.246,6.641,4.425,5.49,5.55,-0.232,4.437,4.826
4.199,4.247,6.566,4.422,5.45,5.55,-0.023,4.44,4.828
4.2,4.248,6.589,4.423,5.49,5.55,-0.35,4.447,4.829
4.199,4.249,6.569,4.411,5.56,5.55,-0.161,4.441,4.827
4.2,4.251,6.569,4.401,5.54,5.55,-0.034,4.437,4.828
4.203,4.252,6.541,4.416,5.55,5.55,0.605,4.457,4.822
4.204,4.253,6.612,4.411,5.51,5.55,1.377,4.457,4.819
4.205,4.254,6.569,4.413,5.07,5.551,1.598,4.464,4.82
4.208,4.255,6.575,4.407,4.83,5.551,1.051,4.463,4.817
4.208,4.256,6.54,4.407,4.68,5.551,0.948,4.467,4.811
4.21,4.257,6.473,4.407,4.63,5.551,1.112,4.472,4.811
4.213,4.258,6.525,4.409,4.76,5.551,1.002,4.478,4.806
4.212,4.259,6.449,4.407,4.81,5.551,0.799,4.48,4.809
4.214,4.261,6.465,4.406,4.74,5.551,0.76,4.482,4.817
4.216,4.262,6.449,4.408,4.74,5.551,0.405,4.489,4.826
4.214,4.263,6.538,4.404,4.76,5.551,0.346,4.488,4.83
4.215,4.264,6.488,4.406,4.99,5.551,0.382,4.493,4.834
4.215,4.265,6.427,4.406,5.07,5.551,0.604,4.498,4.843
4.217,4.267,6.427,4.399,5.22,5.551,0.799,4.493,4.852
4.218,4.269,6.418,4.408,5.2,5.552,0.803,4.506,4.85
4.219,4.271,6.387,4.409,5.42,5.552,0.668,4.51,4.854
4.221,4.273,6.363,4.414,5.3,5.552,0.554,4.518,4.85
4.226,4.275,6.378,4.409,5.45,5.551,0.573,4.517,4.854
4.226,4.278,6.364,4.409,5.73,5.551,0.575,4.52,4.866
4.223,4.28,6.347,4.409,5.85,5.552,1.226,4.523,4.874
4.22,4.282,6.272,4.412,6.02,5.552,1.333,4.529,4.873
4.213,4.284,6.339,4.412,6.27,5.552,1.42,4.532,4.88
4.214,4.286,6.315,4.409,6.53,5.552,1.587,4.532,4.896
4.218,4.288,6.401,4.404,6.54,5.552,0.959,4.53,4.896
4.215,4.29,6.387,4.398,6.5,5.552,0.824,4.528,4.89
4.215,4.291,6.282,4.399,6.52,5.552,1.048,4.532,4.903
4.213,4.293,6.322,4.392,6.51,5.552,1.212,4.528,4.908
4.212,4.295,6.298,4.389,6.51,5.552,1.37,4.529,4.905
4.208,4.297,6.306,4.383,6.4,5.552,1.691,4.525,4.914
4.21,4.299,6.396,4.375,5.98,5.552,1.542,4.521,4.942
4.212,4.302,6.404,4.365,5.49,5.552,1.091,4.514,4.923
4.211,4.304,6.427,4.36,5.31,5.552,1.27,4.512,4.912
4.207,4.306,6.418,4.353,4.8,5.552,1.252,4.509,4.916
4.205,4.308,6.371,4.345,4.21,5.552,0.813,4.504,4.919
4.204,4.309,6.465,4.337,3.97,5.552,0.776,4.498,4.909
4.203,4.31,6.502,4.328,3.77,5.552,0.678,4.492,4.893
4.203,4.312,6.596,4.324,3.65,5.552,0.692,4.491,4.893
4.206,4.313,6.609,4.316,3.07,5.552,1.197,4.486,4.893
4.205,4.314,6.675,4.311,2.49,5.553,1.427,4.483,4.87
4.208,4.315,6.784,4.303,2.09,5.553,0.736,4.477,4.866
4.209,4.316,6.834,4.301,1.82,5.553,0.56,4.477,4.853
4.206,4.317,6.847,4.306,1.73,5.553,0.529,4.483,4.856
4.205,4.318,6.868,4.304,1.74,5.553,0.437,4.483,4.855
4.207,4.319,6.894,4.31,1.73,5.553,0.356,4.491,4.866
4.206,4.32,6.985,4.314,1.75,5.553,0.469,4.495,4.874
4.206,4.321,6.998,4.317,1.75,5.554,0.24,4.499,4.874
4.208,4.323,7.004,4.325,1.75,5.554,0.716,4.508,4.874
4.205,4.324,7.004,4.324,1.73,5.554,1.192,4.507,4.877
4.206,4.326,6.963,4.323,1.74,5.554,1.001,4.506,4.879
4.206,4.328,7.027,4.324,1.75,5.554,1.44,4.507,4.885
4.205,4.33,7.039,4.322,1.75,5.554,1.535,4.505,4.892
4.203,4.332,7.062,4.328,1.34,5.554,0.906,4.511,4.891
4.201,4.334,7.129,4.323,1.24,5.554,0.663,4.505,4.89
4.2,4.335,7.095,4.332,1.24,5.554,0.552,4.513,4.907
4.201,4.337,7.112,4.333,1.26,5.554,0.49,4.515,4.924
4.203,4.338,7.09,4.331,1.25,5.554,0.483,4.512,4.95
4.204,4.339,7.176,4.325,1.26,5.555,0.181,4.506,4.919
4.206,4.34,7.172,4.326,1.26,5.555,-0.072,4.506,4.918
4.206,4.342,7.25,4.327,1.22,5.555,-0.123,4.507,4.927
4.205,4.344,7.224,4.333,1.01,5.555,-0.215,4.512,4.925
4.205,4.346,7.182,4.331,1.03,5.555,-0.308,4.51,4.927
4.206,4.348,7.198,4.337,1.01,5.556,-0.458,4.516,4.931
4.209,4.35,7.171,4.338,1.01,5.556,-0.46,4.518,4.937
4.209,4.352,7.168,4.345,1,5.556,-0.523,4.524,4.934
4.206,4.354,7.145,4.346,0.98,5.556,-0.595,4.525,4.938
4.206,4.357,7.15,4.347,1,5.556,-0.586,4.526,4.952
4.203,4.359,7.143,4.354,1.01,5.556,-0.696,4.532,4.957
4.203,4.362,7.163,4.35,1,5.556,-0.572,4.528,4.964
4.205,4.365,7.117,4.354,1,5.556,-0.49,4.532,4.975
4.207,4.367,7.128,4.361,1,5.556,-0.532,4.539,4.989
4.207,4.37,7.162,4.354,1.03,5.556,-0.631,4.531,4.992
4.212,4.371,7.058,4.361,1.26,5.556,-0.605,4.539,4.993
4.213,4.373,7.039,4.362,1.43,5.556,-0.609,4.539,4.997
4.213,4.376,7.071,4.363,1.61,5.556,-0.623,4.541,4.995
4.212,4.379,7.094,4.372,1.76,5.556,-0.489,4.549,5.011
4.211,4.381,7.086,4.374,1.93,5.556,-0.568,4.552,5.02
4.181,4.384,7.071,4.381,2.16,5.556,-0.721,4.56,5.012
4.211,4.387,7.057,4.384,2.28,5.556,-0.635,4.563,5.017
4.21,4.389,7.055,4.39,2.5,5.556,-0.861,4.57,5.021
4.206,4.392,7.038,4.388,2.63,5.556,-0.764,4.569,5.035
4.205,4.394,7.043,4.389,2.79,5.556,-0.428,4.571,5.043
4.203,4.396,6.972,4.388,3,5.556,-0.491,4.572,5.039
4.205,4.399,6.913,4.391,3.04,5.556,-0.57,4.577,5.039
4.208,4.402,6.896,4.387,3.26,5.556,-0.606,4.573,5.052
4.205,4.406,6.921,4.388,3.5,5.556,-0.727,4.577,5.06
4.204,4.408,6.913,4.367,3.62,5.556,-0.593,4.557,5.089
4.201,4.411,6.913,4.378,3.78,5.556,-0.47,4.569,5.113
4.199,4.414,6.891,4.387,4,5.556,-0.497,4.58,5.098
4.199,4.416,6.871,4.391,4.16,5.556,-0.524,4.585,5.094
4.196,4.418,6.794,4.391,4.29,5.556,-0.497,4.587,5.102
4.198,4.421,6.867,4.39,4.49,5.557,-0.602,4.587,5.086
4.195,4.423,6.806,4.39,4.59,5.556,-0.575,4.59,5.089
4.193,4.427,6.782,4.392,4.79,5.556,-0.464,4.593,5.102
4.188,4.429,6.784,4.39,4.94,5.556,-0.705,4.593,5.111
4.187,4.432,6.755,4.391,4.99,5.556,-0.463,4.596,5.113
4.188,4.435,6.806,4.389,5.24,5.556,-0.432,4.596,5.117
4.188,4.437,6.806,4.391,5.25,5.556,-0.594,4.6,5.123
4.19,4.438,6.762,4.388,5.25,5.556,-0.536,4.598,5.108
4.193,4.438,6.692,4.384,5.25,5.556,-0.643,4.597,5.089
4.195,4.44,6.708,4.382,5.25,5.557,-0.748,4.597,5.104
4.196,4.442,6.68,4.389,5.24,5.556,-0.689,4.607,5.11
4.199,4.446,6.736,4.384,5.25,5.556,-0.73,4.604,5.1
4.199,4.45,6.739,4.391,5.26,5.556,-0.734,4.613,5.117
4.195,4.452,6.78,4.391,5.26,5.556,-0.505,4.615,5.132
4.191,4.454,6.751,4.395,5.25,5.556,-0.278,4.621,5.144
4.187,4.456,6.71,4.395,5.25,5.556,-0.579,4.622,5.155
4.188,4.458,6.749,4.394,5.25,5.557,-0.594,4.623,5.158
4.187,4.46,6.812,4.391,5.26,5.557,-0.221,4.622,5.165
4.186,4.462,6.778,4.392,5.02,5.557,0.729,4.624,5.15
4.187,4.463,6.758,4.394,4.94,5.557,0.336,4.626,5.156
