Series,Year,Period,Value
CEU3200000035,2004,M03,96.8
CEU3200000035,2004,M04,96.9
CEU3200000035,2004,M05,98.6
CEU3200000035,2004,M06,99.7
CEU3200000035,2004,M07,99.6
CEU3200000035,2004,M08,100.6
CEU3200000035,2004,M09,100.8
CEU3200000035,2004,M10,99.1
CEU3200000035,2004,M11,99.3
CEU3200000035,2004,M12,99.4
CEU3200000035,2005,M01,96.9
CEU3200000035,2005,M02,95.9
CEU3200000035,2005,M03,95.9
CEU3200000035,2005,M04,95.6
CEU3200000035,2005,M05,96.7
CEU3200000035,2005,M06,97.6
CEU3200000035,2005,M07,97.3
CEU3200000035,2005,M08,97.5
CEU3200000035,2005,M09,99.4
CEU3200000035,2005,M10,98.6
CEU3200000035,2005,M11,98.4
CEU3200000035,2005,M12,99
CEU3200000035,2006,M01,97.3
CEU3200000035,2006,M02,96.3
CEU3200000035,2006,M03,96.7
CEU3200000035,2006,M04,96.2
CEU3200000035,2006,M05,97.4
CEU3200000035,2006,M06,98.8
CEU3200000035,2006,M07,98.6
CEU3200000035,2006,M08,98.9
CEU3200000035,2006,M09,99.7
CEU3200000035,2006,M10,98.5
CEU3200000035,2006,M11,98
CEU3200000035,2006,M12,98.9
CEU3200000035,2007,M01,97.2
CEU3200000035,2007,M02,95.4
CEU3200000035,2007,M03,96.8
CEU3200000035,2007,M04,98.1
CEU3200000035,2007,M05,97.9
CEU3200000035,2007,M06,100.1
CEU3200000035,2007,M07,100.2
CEU3200000035,2007,M08,100.7
CEU3200000035,2007,M09,102
CEU3200000035,2007,M10,100.1
CEU3200000035,2007,M11,101.3
CEU3200000035,2007,M12,101.7
CEU3200000035,2008,M01,98.9
CEU3200000035,2008,M02,97.4
CEU3200000035,2008,M03,99
CEU3200000035,2008,M04,98.5
CEU3200000035,2008,M05,99
CEU3200000035,2008,M06,100.7
CEU3200000035,2008,M07,100.3
CEU3200000035,2008,M08,100.7
CEU3200000035,2008,M09,101.6
CEU3200000035,2008,M10,99.8
CEU3200000035,2008,M11,98.2
CEU3200000035,2008,M12,96.2
CEU3200000035,2009,M01,92.5
CEU3200000035,2009,M02,90.6
CEU3200000035,2009,M03,89.5
CEU3200000035,2009,M04,88.6
CEU3200000035,2009,M05,89.5
CEU3200000035,2009,M06,91
CEU3200000035,2009,M07,90.8
CEU3200000035,2009,M08,92.3
CEU3200000035,2009,M09,93.2
CEU3200000035,2009,M10,92.7
CEU3200000035,2009,M11,92.8
CEU3200000035,2009,M12,92.8
CEU3200000035,2010,M01,90.8
CEU3200000035,2010,M02,88.6
CEU3200000035,2010,M03,90.1
CEU3200000035,2010,M04,91.2
CEU3200000035,2010,M05,93.1
CEU3200000035,2010,M06,93
CEU3200000035,2010,M07,92.9
CEU3200000035,2010,M08,94.7
CEU3200000035,2010,M09,95.5
CEU3200000035,2010,M10,94.4
CEU3200000035,2010,M11,93.8
CEU3200000035,2010,M12,93.8
CEU3200000035,2011,M01,91.4
CEU3200000035,2011,M02,91
CEU3200000035,2011,M03,91.6
CEU3200000035,2011,M04,92.8
CEU3200000035,2011,M05,93.7
CEU3200000035,2011,M06,94.3
CEU3200000035,2011,M07,95
CEU3200000035,2011,M08,95.3
CEU3200000035,2011,M09,96.4
CEU3200000035,2011,M10,95.8
CEU3200000035,2011,M11,94.8
CEU3200000035,2011,M12,95.1
CEU3200000035,2012,M01,94
CEU3200000035,2012,M02,92.6
CEU3200000035,2012,M03,93.7
CEU3200000035,2012,M04,94.9
CEU3200000035,2012,M05,95
CEU3200000035,2012,M06,96.3
CEU3200000035,2012,M07,97.1
CEU3200000035,2012,M08,97.6
CEU3200000035,2012,M09,98.6
CEU3200000035,2012,M10,98
CEU3200000035,2012,M11,97
CEU3200000035,2012,M12,97.7
CEU3200000035,2013,M01,95.9
CEU3200000035,2013,M02,95.5
CEU3200000035,2013,M03,95.6
CEU3200000035,2013,M04,96.6
CEU3200000035,2013,M05,96.7
CEU3200000035,2013,M06,97.9
CEU3200000035,2013,M07,97.3
CEU3200000035,2013,M08,98.8
CEU3200000035,2013,M09,99.3
CEU3200000035,2013,M10,98.5
CEU3200000035,2013,M11,98.5
CEU3200000035,2013,M12,100.1
CEU3200000035,2014,M01,97.5
CEU3200000035,2014,M02,96.1
CEU3200000035,2014,M03,98.3
CEU3200000035,2014,M04,98.2
CEU3200000035,2014,M05,98.7
CEU3200000035,2014,M06,100.5
CEU3200000035,2014,M07,100.2
CEU3200000035,2014,M08,101.7
CEU3200000035,2014,M09,102.9
CEU3200000035,2014,M10,101.9
CEU3200000035,2014,M11,103.3
CEU3200000035,2014,M12,104.2
CEU3200000035,2015,M01,101.7
CEU3200000035,2015,M02,100.5
CEU3200000035,2015,M03,101.6
CEU3200000035,2015,M04,102
CEU3200000035,2015,M05,102.6
CEU3200000035,2015,M06,103.8
CEU3200000035,2015,M07,104.6
CEU3200000035,2015,M08,105.9
CEU3200000035,2015,M09,107.6
CEU3200000035,2015,M10,106.7
CEU3200000035,2015,M11,106.6
CEU3200000035,2015,M12,106.9
CEU3200000035,2016,M01,105.3
CEU3200000035,2016,M02,103.8
CEU3200000035,2016,M03,104.7
CEU3200000035,2016,M04,105.6
CEU3200000035,2016,M05,106.5
CEU3200000035,2016,M06,108.7
CEU3200000035,2016,M07,109.3
CEU3200000035,2016,M08,109.9
CEU3200000035,2016,M09,111.6
CEU3200000035,2016,M10,111.1
CEU3200000035,2016,M11,110.2
CEU3200000035,2016,M12,110.7
CEU3200000035,2017,M01,109.2
CEU3200000035,2017,M02,109.1
CEU3200000035,2017,M03,109.5
CEU3200000035,2017,M04,111.3
CEU3200000035,2017,M05,111.4
CEU3200000035,2017,M06,113.7
CEU3200000035,2017,M07,115.3
CEU3200000035,2017,M08,115.5
CEU3200000035,2017,M09,116.4
CEU3200000035,2017,M10,116.6
CEU3200000035,2017,M11,116.5
CEU3200000035,2017,M12,117.2
CEU3200000035,2018,M01,115.5
CEU3200000035,2018,M02,116.1
CEU3200000035,2018,M03,116.4
CEU3200000035,2018,M04,117.9
CEU3200000035,2018,M05,117.6
CEU3200000035,2018,M06,118.1
CEU3200000035,2018,M07,119.6
CEU3200000035,2018,M08,119.6
CEU3200000035,2018,M09,121.1
CEU3200000035,2018,M10,120.2
CEU3200000035,2018,M11,120.6
CEU3200000035,2018,M12,121.4
CEU3200000035,2019,M01,119.1
CEU3200000035,2019,M02,118.3
CEU3200000035,2019,M03,118.5
CEU3200000035,2019,M04,118.8
CEU3200000035,2019,M05,119.4
CEU3200000035,2019,M06,121.6
CEU3200000035,2019,M07,121.1
CEU3200000035,2019,M08,121.9
CEU3200000035,2019,M09,122.5
CEU3200000035,2019,M10,122.3
CEU3200000035,2019,M11,122.4
CEU3200000035,2019,M12,123.3
CEU3200000035,2020,M01,120.9
CEU3200000035,2020,M02,120.7
CEU3200000035,2020,M03,120.5
CEU3200000035,2020,M04,107.7
CEU3200000035,2020,M05,111.2
CEU3200000035,2020,M06,115
CEU3200000035,2020,M07,116.4
CEU3200000035,2020,M08,118.6
CEU3200000035,2020,M09,120.8
CEU3200000035,2020,M10,121
CEU3200000035,2020,M11,121.5
CEU3200000035,2020,M12,124.3
CEU3200000035,2021,M01,121.5
CEU3200000035,2021,M02,122.5
CEU3200000035,2021,M03,123.2
CEU3200000035,2021,M04,123.8
CEU3200000035,2021,M05,125.3
CEU3200000035,2021,M06,127.6
CEU3200000035,2021,M07,128.8
CEU3200000035,2021,M08,129.3
CEU3200000035,2021,M09,131
CEU3200000035,2021,M10,131.3
CEU3200000035,2021,M11,132
CEU3200000035,2021,M12,132.9
CEU3200000035,2022,M01,130.2
CEU3200000035,2022,M02,132.7
CEU3200000035,2022,M03,133.4
CEU3200000035,2022,M04,131.8
CEU3200000035,2022,M05,134.5
CEU3200000035,2022,M06,135.5
CEU3200000035,2022,M07,137.7
CEU3200000035,2022,M08,137.4
CEU3200000035,2022,M09,139.6
CEU3200000035,2022,M10,139.3
CEU3200000035,2022,M11,138.9
CEU3200000035,2022,M12,138.4
CEU3200000035,2023,M01,140.6
CEU3200000035,2023,M02,138.1
CEU3200000035,2023,M03,140.2
CEU3200000035,2023,M04,141.4
CEU3200000035,2023,M05,140.8
CEU3200000035,2023,M06,142.6
CEU3200000035,2023,M07,144.3
CEU3200000035,2023,M08,145.1
CEU3200000035,2023,M09,146.9
CEU3200000035,2023,M10,146.3
CEU3200000035,2023,M11,145.9
CEU3200000035,2023,M12,146.3
CEU3200000035,2024,M01,143.4
CEU3200000035,2024,M02,144
CEU3200000035,2024,M03,144.6
CEU3200000035,2024,M04,145.8
CEU3200000035,2024,M05,148.1
CEU3200000035,2024,M06,150.8
CEU3200000035,2024,M07,151.6
CEU3200000035,2024,M08,151.7
CEU3200000035,2024,M09,153.8
CEU3200000035,2024,M10,153.3
,,,
,,,
