,Monthly Nominal GDP Index,Monthly Real GDP Index,,
2011 - Jun,15521.585,16971.373,,
2011 - Jul,15622.110,17031.976,,
2011 - Aug,15720.855,17102.228,,
2011 - Sep,15600.074,16960.416,,
2011 - Oct,15851.332,17249.359,,
2011 - Nov,15842.274,17209.122,,
2011 - Dec,15833.171,17210.037,,
2012 - Jan,15934.137,17263.351,,
2012 - Feb,16213.898,17513.318,,
2012 - Mar,16058.380,17324.912,,
2012 - Apr,16178.087,17411.184,,
2012 - May,16227.269,17479.371,,
2012 - Jun,16215.990,17443.612,,
2012 - Jul,16323.980,17522.759,,
2012 - Aug,16277.610,17418.507,,
2012 - Sep,16357.033,17468.319,,
2012 - Oct,16343.614,17414.483,,
2012 - Nov,16410.068,17490.270,,
2012 - Dec,16507.576,17565.489,,
2013 - Jan,16684.359,17726.132,,
2013 - Feb,16602.480,17600.894,,
2013 - Mar,16657.728,17660.817,,
2013 - Apr,16674.571,17690.589,,
2013 - May,16672.390,17657.711,,
2013 - Jun,16839.100,17781.306,,
2013 - Jul,16874.453,17796.132,,
2013 - Aug,16988.693,17896.955,,
2013 - Sep,16998.368,17888.851,,
2013 - Oct,17113.690,17981.187,,
2013 - Nov,17222.620,18055.688,,
2013 - Dec,17239.747,18012.080,,
2014 - Jan,17122.834,17884.225,,
2014 - Feb,17219.865,17991.350,,
2014 - Mar,17250.516,17986.847,,
2014 - Apr,17404.813,18109.730,,
2014 - May,17542.637,18199.892,,
2014 - Jun,17608.074,18248.619,,
2014 - Jul,17756.920,18371.488,,
2014 - Aug,17860.465,18466.132,,
2014 - Sep,17795.300,18383.765,,
2014 - Oct,17902.599,18491.471,,
2014 - Nov,17918.274,18501.281,,
2014 - Dec,17915.364,18507.841,,
2015 - Jan,18001.906,18651.175,,
2015 - Feb,18125.073,18732.154,,
2015 - Mar,18063.608,18616.968,,
2015 - Apr,18242.012,18783.425,,
2015 - May,18257.736,18750.111,,
2015 - Jun,18339.604,18813.516,,
2015 - Jul,18370.508,18823.062,,
2015 - Aug,18376.238,18827.768,,
2015 - Sep,18458.132,18921.738,,
2015 - Oct,18468.426,18916.517,,
2015 - Nov,18389.438,18839.270,,
2015 - Dec,18447.547,18921.053,,
2016 - Jan,18494.814,18980.591,,
2016 - Feb,18466.998,18956.268,,
2016 - Mar,18615.987,19068.507,,
2016 - Apr,18690.966,19078.062,,
2016 - May,18695.659,19050.448,,
2016 - Jun,18748.480,19059.833,,
2016 - Jul,18794.575,19115.374,,
2016 - Aug,18879.516,19193.597,,
2016 - Sep,19003.826,19284.876,,
2016 - Oct,18982.267,19217.842,,
2016 - Nov,19105.004,19331.307,,
2016 - Dec,19180.867,19363.925,,
2017 - Jan,19221.290,19348.873,,
2017 - Feb,19261.740,19374.906,,
2017 - Mar,19357.222,19471.292,,
2017 - Apr,19323.229,19396.710,,
2017 - May,19439.090,19514.822,,
2017 - Jun,19553.610,19609.356,,
2017 - Jul,19583.714,19604.071,,
2017 - Aug,19662.080,19634.369,,
2017 - Sep,19831.992,19743.832,,
2017 - Oct,19880.089,19758.128,,
