computer ur
2.3
2.7
2.2
1.6
3
5.2
5.8
7.6
9.9
10.1
8
8.1
8.5
8.6
9.8
8.6
8.3
5
5
5.5
5.2
4.8
4.7
3.4
3.4
2.5
2.4
2.9
3.4
3.5
2.9
3.8
3.8
3.4
4.7
6
9.6
13.6
11.1
9.1
11.1
9.5
8.7
8.7
8.3
8.3
8.1
7.8
6
5.5
7.5
5.7
6.1
5.3
6.5
6
5.4
6.6
5.6
3.3
4.8
4.8
4.7
4.1
4.3
3.8
4.4
3.4
3
3.1
4
3
3.3
4.4
3.7
3
2
0.8
2
2.4
1.3
6
5.3
4.1
1.9
4.3
2.1
0.5
2.5
0.5
0.5
2.8
1.3
1.1
2.7
3.3
1.3
1.6
