,Monthly Nominal GDP Index,Monthly Real GDP Index,,
1992 - Jan,6314.427,10175.516,,
1992 - Feb,6357.419,10224.254,,
1992 - Mar,6417.460,10308.447,,
1992 - Apr,6442.822,10313.443,,
1992 - May,6435.261,10295.678,,
1992 - Jun,6534.206,10432.012,,
1992 - Jul,6555.367,10448.105,,
1992 - Aug,6557.225,10431.511,,
1992 - Sep,6587.331,10468.284,,
1992 - Oct,6636.247,10523.154,,
1992 - Nov,6681.454,10557.232,,
1992 - Dec,6724.708,10594.331,,
1993 - Jan,6715.693,10573.944,,
1993 - Feb,6744.808,10599.605,,
1993 - Mar,6727.876,10554.030,,
1993 - Apr,6765.969,10593.117,,
1993 - May,6822.722,10656.752,,
1993 - Jun,6838.127,10662.374,,
1993 - Jul,6833.086,10632.142,,
1993 - Aug,6876.083,10677.861,,
1993 - Sep,6937.125,10754.493,,
1993 - Oct,6943.040,10750.777,,
1993 - Nov,7036.983,10862.054,,
1993 - Dec,7061.191,10887.842,,
1994 - Jan,7079.818,10894.714,,
1994 - Feb,7127.100,10954.047,,
1994 - Mar,7140.039,10967.300,,
1994 - Apr,7185.116,11016.738,,
1994 - May,7289.393,11126.673,,
1994 - Jun,7266.284,11117.308,,
1994 - Jul,7299.332,11118.355,,
1994 - Aug,7350.204,11191.228,,
1994 - Sep,7343.689,11145.729,,
1994 - Oct,7429.408,11247.247,,
1994 - Nov,7432.836,11241.158,,
1994 - Dec,7503.620,11350.531,,
1995 - Jan,7543.776,11358.834,,
1995 - Feb,7490.494,11275.174,,
1995 - Mar,7532.597,11325.310,,
1995 - Apr,7540.790,11299.650,,
1995 - May,7560.595,11327.282,,
1995 - Jun,7641.606,11434.206,,
1995 - Jul,7630.345,11379.767,,
1995 - Aug,7674.423,11441.896,,
1995 - Sep,7744.607,11529.418,,
1995 - Oct,7745.996,11478.796,,
1995 - Nov,7748.604,11500.228,,
1995 - Dec,7823.158,11605.896,,
1996 - Jan,7842.054,11586.878,,
1996 - Feb,7854.167,11601.710,,
1996 - Mar,7909.183,11656.214,,
1996 - Apr,8021.656,11813.198,,
1996 - May,8010.029,11778.109,,
1996 - Jun,8066.835,11834.789,,
1996 - Jul,8101.445,11879.359,,
1996 - Aug,8121.858,11907.790,,
1996 - Sep,8170.921,11956.333,,
1996 - Oct,8250.203,12038.304,,
1996 - Nov,8282.243,12062.327,,
1996 - Dec,8246.867,12013.964,,
1997 - Jan,8311.083,12088.434,,
1997 - Feb,8386.831,12172.384,,
1997 - Mar,8390.051,12086.831,,
