prd,cplt,unint,rw
4.4774,4.2986,7.4140,4.5717
4.4893,4.2364,7.6371,4.5518
4.5112,4.2054,7.8650,4.5717
4.5281,4.2220,8.0241,4.5718
4.5412,4.2407,8.1660,4.5680
4.5415,4.2653,8.2191,4.5564
4.5445,4.2912,8.3026,4.5678
4.5521,4.3102,8.2776,4.5719
4.5542,4.3181,8.2966,4.5663
4.5472,4.3248,8.3491,4.5737
4.5472,4.3278,8.3917,4.5545
4.5446,4.3356,8.4127,4.5553
4.5503,4.3411,8.3517,4.5366
4.5543,4.3455,8.3078,4.5541
4.5589,4.3462,8.2988,4.5570
4.5559,4.3411,8.2748,4.5532
4.5526,4.3415,8.2240,4.5728
4.5597,4.3451,8.1512,4.5549
4.5588,4.3464,8.1318,4.5623
4.5656,4.3479,8.1146,4.5540
4.5743,4.3526,8.0345,4.5577
4.5660,4.3573,7.9838,4.5706
4.5722,4.3686,7.8760,4.5595
4.5788,4.3714,7.7883,4.5602
4.5748,4.3745,7.7371,4.5726
4.5807,4.3615,7.6660,4.5899
4.5863,4.3467,7.6077,4.5926
4.5889,4.3474,7.4537,4.5944
4.5829,4.3343,7.4533,4.5922
4.5871,4.3276,7.4673,4.5932
4.5869,4.3236,7.4275,4.5877
4.5908,4.3254,7.4042,4.5881
4.5991,4.3242,7.3434,4.5954
4.6000,4.3253,7.2630,4.5970
4.6000,4.3412,7.1846,4.6016
4.6079,4.3407,7.1942,4.6097
4.6150,4.3582,7.1742,4.6147
4.6198,4.3664,7.0731,4.6138
4.6207,4.3792,6.9496,4.6135
4.6225,4.3870,6.9847,4.6178
4.6214,4.3868,6.9644,4.6176
4.6293,4.3747,6.9329,4.6388
4.6354,4.3660,6.9257,4.6316
4.6458,4.3631,6.8533,4.6284
4.6550,4.3556,6.8451,4.6382
4.6520,4.3378,6.8341,4.6595
4.6964,4.2026,7.4150,4.7227
4.7136,4.2949,7.6457,4.6971
4.7047,4.3170,7.5532,4.7141
4.7127,4.3261,7.6624,4.7057
4.7141,4.3482,7.6946,4.7027
4.7087,4.3602,7.5135,4.7010
4.7163,4.3761,7.2760,4.6948
4.7024,4.3870,7.0758,4.6760
4.6954,4.3954,6.9468,4.6545
4.6951,4.3947,6.8486,4.6588
4.7030,4.3841,6.8091,4.6508
4.7036,4.3770,6.7560,4.6509
4.7125,4.3711,6.8169,4.6580
4.7216,4.3686,6.8480,4.6618
4.7297,4.3602,6.8953,4.6657
4.7318,4.3529,6.9066,4.6786
4.7373,4.3564,6.9268,4.6739
4.7421,4.3519,7.0034,4.6772
4.7463,4.3450,7.0852,4.6811
