usst,ppistliron.ts,iprinstl.ts,steelee.ts
5.288,5.041,4.569,5.537
5.313,5.060,4.558,5.531
5.292,5.050,4.524,5.531
5.551,5.037,4.499,5.528
5.522,5.034,4.540,5.523
5.516,5.046,4.579,5.523
5.586,5.073,4.612,5.524
5.520,5.096,4.598,5.523
5.494,5.113,4.584,5.525
5.430,5.120,4.588,5.531
5.460,5.138,4.583,5.539
5.467,5.145,4.594,5.543
5.461,5.166,4.590,5.545
5.481,5.128,4.610,5.546
5.513,5.142,4.628,5.545
5.525,5.132,4.621,5.547
5.628,5.120,4.634,5.543
5.682,5.126,4.619,5.548
5.695,5.132,4.613,5.549
5.608,5.162,4.642,5.552
5.630,5.180,4.664,5.552
5.700,5.204,4.639,5.557
5.637,5.241,4.643,5.563
5.691,5.262,4.639,5.568
5.635,5.281,4.635,5.562
5.638,5.300,4.646,5.566
5.533,5.316,4.644,5.566
5.510,5.309,4.648,5.568
5.346,5.324,4.636,5.573
5.522,5.318,4.611,5.576
5.534,5.307,4.568,5.585
5.489,5.275,4.570,5.586
5.454,5.277,4.565,5.587
5.272,5.256,4.561,5.586
5.435,5.243,4.539,5.583
5.429,5.218,4.509,5.582
5.327,5.186,4.539,5.583
5.377,5.168,4.552,5.581
5.435,5.160,4.551,5.580
5.497,5.147,4.551,5.569
5.489,5.118,4.563,5.568
5.352,5.098,4.603,5.559
5.234,5.097,4.640,5.555
5.032,5.099,4.601,5.557
5.113,5.108,4.566,5.554
5.174,5.104,4.246,5.458
5.181,5.079,4.206,5.434
5.190,5.075,4.289,5.451
5.258,5.068,4.339,5.441
5.233,5.052,4.430,5.451
5.301,5.048,4.510,5.445
5.402,5.064,4.517,5.449
5.408,5.086,4.547,5.452
5.340,5.145,4.588,5.455
5.528,5.201,4.612,5.451
5.762,5.302,4.565,5.451
5.795,5.449,4.600,5.460
5.954,5.605,4.621,5.466
5.887,5.641,4.618,5.467
5.959,5.703,4.628,5.470
6.029,5.792,4.643,5.474
5.879,5.845,4.638,5.471
6.002,5.892,4.663,5.469
5.928,5.930,4.661,5.466
5.999,5.955,4.643,5.474
5.875,5.958,4.619,5.480
6.122,5.963,4.580,5.489
6.280,5.870,4.574,5.496
6.257,5.813,4.560,5.495
6.158,5.847,4.572,5.496
5.908,5.944,4.589,5.497
6.114,5.932,4.571,5.495
6.105,5.895,4.571,5.497
5.927,5.832,4.562,5.504
6.112,5.762,4.557,5.510
6.233,5.706,4.550,5.516
6.159,5.672,4.530,5.517
6.369,5.640,4.520,5.523
6.387,5.612,4.552,5.519
6.307,5.651,4.583,5.521
6.240,5.661,4.583,5.527
6.138,5.680,4.576,5.524
6.328,5.739,4.582,5.532
6.369,5.743,4.585,5.536
6.364,5.688,4.572,5.538
6.306,5.669,4.571,5.539
6.277,5.629,4.573,5.534
6.380,5.599,4.563,5.529
6.441,5.566,4.569,5.521
6.475,5.570,4.564,5.525
6.530,5.632,4.534,5.523
6.568,5.678,4.549,5.525
6.409,5.587,4.555,5.525
6.433,5.559,4.525,5.531
6.379,5.570,4.534,5.529
6.422,5.555,4.518,5.530
6.335,5.524,4.515,5.529
6.339,5.497,4.519,5.525
6.312,5.477,4.538,5.522
6.403,5.476,4.511,5.526
6.176,5.497,4.500,5.526
6.257,5.447,4.551,5.524
6.307,5.423,4.551,5.526
6.221,5.458,4.550,5.532
6.232,5.527,4.524,5.533
