Date,            Compensation of employees,Domestic industries,    Private industries,"        Agriculture, forestry, fishing, and hunting",            Farms1,"            Forestry, fishing, and related activities",        Mining,            Oil and gas extraction,"            Mining, except oil and gas",            Support activities for mining,        Utilities,        Construction,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products,        Wholesale trade,            Durable goods,            Nondurable goods,        Retail trade,            Motor vehicle and parts dealers,            Food and beverage stores,            General merchandise stores,            Other retail2,        Transportation and warehousing,            Air transportation,            Rail transportation,            Water transportation,            Truck transportation,            Transit and ground passenger transportation,            Pipeline transportation,            Other transportation and support activities3,            Warehousing and storage,        Information,            Publishing industries (includes software),            Motion picture and sound recording industries,            Broadcasting and telecommunications,            Information and data processing services,        Finance and insurance,"            Federal Reserve banks, credit intermediation, and related activities","            Securities, commodity contracts, and investments",            Insurance carriers and related activities,"            Funds, trusts, and other financial vehicles",        Real estate and rental and leasing,            Real estate,            Rental and leasing services and lessors of intangible assets4,"        Professional, scientific, and technical services",            Legal services,            Computer systems design and related services,"            Miscellaneous professional, scientific, and technical services5",        Management of companies and enterprises6,        Administrative and waste management services,            Administrative and support services,            Waste management and remediation services,        Educational services,        Health care and social assistance,            Ambulatory health care services,            Hospitals,            Nursing and residential care facilities,            Social assistance,"        Arts, entertainment, and recreation","            Performing arts, spectator sports, museums, and related activities","            Amusements, gambling, and recreation industries",        Accommodation and food services,            Accommodation,            Food services and drinking places,"        Other services, except government",    Government,        Federal,            General government,                Civilian,                Military7,            Government enterprises,        State and local,            General government,                Education,                Other8
2008,1.233043903,1.232621733,1.198699653,1.230665888,1.215218626,1.255569118,1.160829574,1.175221772,1.217944263,1.114808917,1.378877078,1.191156933,1.259412224,1.254209588,1.274603937,1.249055755,1.260193952,1.215922069,1.22106698,1.209134048,1.34006164,1.295054297,1.282527462,1.226505891,1.392990397,1.269656564,1.246610071,1.251044084,1.264947954,1.246446255,1.223558422,1.505848761,1.297530439,1.244792478,1.157366353,1.158029213,1.156371404,1.208727755,1.188505777,1.239621771,1.23498307,1.198318781,1.234533382,1.313794638,1.285651325,1.261672546,1.233162326,1.203192093,1.174329973,1.203575851,1.201073694,1.204349796,1.207737633,1.211755269,1.214401415,1.162920299,1.183542823,1.189702977,1.161715253,1.202184712,1.227356747,1.153073595,1.153067388,1.153090102,1.160575415,1.185502182,1.15015606,1.157808126,1.197334792,1.177707534,1.177338037,1.182758808,1.191421573,1.214872417,1.217258311,1.21272045,1.220016912,1.20393318,1.155794453,1.14035971,1.172017405,1.160542911,1.155666537,1.162260258,1.175032301,1.392826513,1.381505191,1.378338841,1.365280009,1.396691707,1.400251819,1.396787895,1.397049075,1.400047287,1.393616323
2009,1.241619847,1.24130449,1.205481126,1.256845857,1.206004965,1.344830385,1.176954283,1.193622814,1.203969626,1.140871131,1.369620461,1.199937454,1.2643848,1.263748008,1.244449531,1.228310255,1.266237942,1.236254008,1.242384529,1.210842759,1.393988191,1.281345157,1.29266735,1.225050142,1.41964548,1.265546628,1.254022264,1.217308554,1.230118928,1.226237133,1.197968874,1.555209219,1.295533808,1.22621587,1.159872885,1.158823845,1.161366428,1.205227446,1.165568258,1.222653961,1.264327539,1.193415198,1.252420679,1.297827688,1.292272852,1.276273023,1.259593973,1.21083704,1.175484798,1.223300582,1.25162413,1.243888205,1.246582553,1.255758427,1.266826353,1.166238544,1.17768016,1.175285896,1.16733747,1.189701056,1.229571984,1.18356837,1.185138263,1.179322306,1.165749262,1.1864982,1.156094157,1.163803033,1.199480864,1.193071493,1.192619045,1.198785357,1.22873429,1.218109629,1.211418048,1.222166106,1.231300575,1.217772174,1.171391945,1.156928742,1.186945089,1.160605264,1.15615755,1.162073587,1.183607102,1.396216718,1.388719493,1.386530657,1.371469068,1.408047522,1.403134111,1.398929088,1.399192958,1.402220453,1.395715902
2010,1.243680904,1.243390631,1.202806471,1.229269453,1.196579933,1.278942639,1.172478091,1.188119238,1.204999282,1.13515121,1.382910875,1.206465357,1.258172405,1.250309591,1.246481642,1.23480281,1.239386902,1.213806417,1.229954837,1.191616882,1.399894525,1.259608901,1.298097004,1.208936848,1.407068273,1.272698824,1.263249162,1.216989535,1.227705374,1.227962105,1.2062581,1.554200926,1.307620945,1.227864893,1.162313112,1.159880165,1.165762348,1.200995574,1.171254526,1.231887845,1.233758904,1.190475951,1.255711757,1.320291206,1.295872526,1.279923192,1.263732233,1.221013342,1.181676326,1.219632337,1.243412798,1.217385555,1.212139069,1.22503288,1.245164047,1.150320589,1.181026616,1.177056809,1.174626491,1.191058063,1.301401869,1.179517196,1.180069876,1.177982833,1.15527018,1.171287406,1.145215125,1.154963071,1.219947695,1.201271394,1.179855232,1.468700434,1.225895572,1.217313507,1.210006915,1.215524482,1.245277426,1.223779921,1.165418942,1.144970915,1.187557322,1.158596043,1.157379045,1.158991445,1.16332853,1.420181267,1.39847681,1.397033168,1.370769609,1.437460368,1.408830846,1.428446896,1.428714697,1.431723839,1.425217846
2011,1.241465296,1.241180009,1.200916353,1.234560499,1.195311287,1.288697263,1.156397217,1.172909007,1.189607843,1.122812656,1.394787891,1.200975849,1.250052419,1.241755789,1.269660289,1.240432976,1.232570693,1.215754714,1.224843276,1.185079161,1.374232028,1.247560252,1.264461451,1.20985703,1.397173277,1.266173822,1.242343448,1.207994729,1.221040012,1.234366412,1.215507946,1.502354091,1.302488056,1.242352399,1.16639126,1.163960686,1.169887779,1.206300378,1.172078009,1.232468047,1.249062398,1.196133901,1.253329797,1.310302221,1.304014691,1.281724347,1.273352377,1.225920096,1.189873418,1.214739517,1.212772962,1.216839968,1.217895972,1.228403667,1.242651225,1.147788963,1.181678428,1.182240071,1.17471815,1.187654909,1.348684211,1.157234209,1.157276507,1.157165495,1.160851454,1.186343864,1.145262654,1.160666884,1.181877794,1.189631026,1.189558371,1.190497991,1.228857322,1.221179674,1.211864135,1.227730035,1.237369241,1.221970229,1.164973059,1.149069518,1.182232278,1.160449329,1.16073943,1.160361996,1.164714128,1.424467151,1.411598878,1.410345584,1.386169055,1.448273131,1.420785614,1.429411676,1.429672633,1.432612181,1.426259713
2012,1.236606475,1.236333127,1.197590759,1.240367493,1.191948118,1.317091055,1.176638029,1.196401697,1.211608687,1.141624081,1.324473135,1.20140396,1.250158495,1.241349918,1.253839205,1.234163851,1.231849747,1.217461666,1.228613118,1.186358808,1.371274995,1.254264592,1.264305033,1.209253564,1.375569112,1.267555599,1.252600297,1.217372326,1.236674743,1.229077865,1.211666035,1.505785678,1.295558317,1.238185855,1.163250264,1.160991831,1.166511374,1.196025885,1.170923379,1.231135019,1.218651143,1.186795331,1.251500879,1.314508813,1.288288288,1.270647538,1.265002331,1.228075212,1.18345891,1.217250254,1.220188518,1.210975506,1.213807424,1.216439455,1.241151108,1.140617026,1.173829129,1.170258645,1.17132422,1.179213945,1.442896936,1.163120495,1.162228947,1.165572268,1.153736454,1.18164794,1.135691284,1.15455457,1.173509454,1.184462515,1.183919245,1.191597551,1.247250837,1.218686565,1.209099183,1.225802376,1.236827425,1.21699573,1.16632349,1.151261599,1.182587359,1.168875871,1.167019027,1.169458182,1.168751688,1.421841946,1.419808556,1.418399262,1.396431144,1.452952564,1.430170304,1.42260705,1.422876124,1.425947036,1.41932506
2013,1.241923876,1.241631805,1.199623913,1.234729362,1.207043083,1.276074391,1.175148271,1.196892043,1.210512586,1.139536259,1.36485194,1.203809873,1.248875201,1.237465044,1.24830843,1.227119853,1.228079249,1.212449975,1.225891623,1.18119469,1.374048025,1.248763132,1.258549629,1.207422402,1.36783541,1.271305689,1.266415277,1.229139923,1.250801404,1.223662817,1.202108049,1.551781691,1.291872386,1.230405115,1.163603609,1.161660306,1.166424339,1.205973273,1.181111754,1.243714494,1.223361041,1.197958163,1.249647185,1.299849125,1.303624193,1.293762955,1.279353608,1.235318763,1.202729045,1.207660126,1.188851561,1.19836104,1.212216886,1.217852607,1.231847106,1.11904889,1.175828669,1.170509277,1.174799506,1.181945643,1.258064516,1.161549958,1.160845625,1.163551753,1.157671692,1.186159933,1.139479974,1.158470543,1.187551824,1.185540368,1.184873375,1.194625963,1.236255061,1.225501063,1.217928325,1.231244172,1.236881112,1.227866929,1.176142771,1.168961677,1.183861138,1.162826813,1.16041257,1.16357237,1.165389952,1.447308209,1.420507603,1.417627578,1.408701055,1.43161288,1.441668404,1.456982778,1.457255484,1.460411773,1.45359329
2014,1.237265547,1.236966285,1.195207075,1.242679864,1.203945736,1.298295623,1.164526938,1.189850421,1.202528346,1.127608701,1.364920306,1.209818692,1.246696571,1.231393882,1.244555791,1.230064293,1.220509281,1.203071952,1.216967993,1.176049012,1.362076658,1.2464371,1.251202539,1.200872242,1.37036621,1.276999733,1.283582855,1.240858669,1.259025271,1.223655561,1.202173812,1.571346138,1.288358597,1.231124627,1.164601257,1.161839973,1.16858886,1.196203517,1.16848815,1.232546685,1.223595947,1.18696187,1.22488609,1.29375437,1.273897261,1.249912496,1.253223222,1.206762534,1.186180769,1.180536429,1.158981544,1.203279479,1.217965819,1.220590456,1.238056385,1.125792416,1.170096345,1.172293738,1.159249602,1.17837631,1.213483146,1.157321172,1.156899952,1.158510117,1.152372213,1.182660477,1.134627536,1.153028615,1.165342264,1.19102239,1.190471181,1.198593374,1.255409422,1.217204169,1.208249329,1.22506305,1.226787224,1.221510983,1.172594802,1.160446281,1.185723294,1.163434934,1.168096705,1.162024758,1.160336315,1.447934798,1.41957606,1.415384939,1.410308826,1.423733052,1.4506969,1.458000007,1.458284476,1.461604484,1.454463816
2015,1.234104105,1.233803018,1.192508375,1.240649051,1.199620778,1.292013908,1.175732057,1.191454093,1.216234422,1.139480367,1.351532984,1.204265178,1.246956716,1.240820178,1.235514697,1.219160814,1.231116473,1.212361866,1.231289509,1.184583847,1.383078028,1.250044705,1.259308425,1.219302465,1.388546682,1.258964348,1.249728267,1.204470282,1.224202486,1.211337723,1.190722357,1.566155549,1.280792322,1.220202247,1.162259824,1.159193335,1.166702929,1.190653313,1.157381045,1.239622818,1.226698713,1.177461727,1.234316062,1.30043218,1.293847468,1.255917667,1.260500288,1.211852486,1.194783481,1.192005393,1.173243295,1.193105875,1.209829967,1.213422629,1.230356714,1.118991265,1.171040791,1.171743148,1.160438013,1.180087179,1.186243386,1.166322561,1.164458319,1.171841033,1.151436461,1.17695012,1.137307746,1.15196325,1.161583175,1.178175749,1.179361593,1.161769201,1.251574465,1.211480514,1.20052252,1.221296639,1.225152552,1.213830546,1.160512573,1.148860336,1.173284154,1.163464952,1.164862028,1.163053277,1.161119129,1.44723756,1.41926445,1.415431097,1.411056774,1.422964133,1.446432067,1.457017059,1.457304963,1.460695258,1.453415646
2016,1.231715934,1.231401687,1.190677251,1.240118349,1.21494936,1.271117307,1.178403088,1.183020523,1.218157484,1.147075418,1.397963389,1.192345634,1.244710716,1.239302974,1.229098552,1.21053769,1.236390268,1.211723701,1.234136262,1.181025921,1.381556583,1.24677672,1.263895246,1.203535759,1.38952427,1.255212608,1.245464433,1.201837611,1.221397181,1.210677336,1.184577746,1.539760564,1.284472694,1.212449365,1.157953889,1.15614845,1.160600741,1.188229038,1.166254993,1.229688302,1.205511314,1.178797339,1.243575072,1.285855327,1.313322959,1.271580465,1.267650922,1.210538587,1.198474548,1.206210013,1.20649341,1.172035848,1.187802836,1.194946211,1.207978735,1.104984511,1.173750384,1.172091112,1.165211675,1.183115465,1.175310446,1.16164594,1.159389864,1.16864584,1.146381629,1.170605332,1.129571032,1.148519407,1.162493989,1.167854884,1.168793447,1.154797315,1.259409331,1.216364925,1.20413239,1.22968069,1.224705838,1.219506108,1.174976093,1.163863199,1.187269689,1.15467689,1.155909144,1.154329543,1.162193116,1.442933605,1.426231653,1.419748425,1.424931534,1.410674209,1.474588638,1.448715204,1.44900961,1.452400657,1.445110791
2017,1.230100031,1.229812413,1.19093674,1.241553793,1.223513085,1.264261117,1.201246856,1.219474626,1.235055014,1.165409147,1.346304915,1.190403975,1.245360042,1.241547577,1.230637404,1.218675048,1.243550092,1.218907975,1.235610831,1.18853461,1.376344898,1.2509423,1.254802879,1.210062269,1.377788021,1.252819746,1.238981145,1.198479977,1.224759242,1.215002599,1.192246512,1.506318319,1.284593519,1.214177202,1.165323736,1.16380423,1.167562268,1.188669341,1.167090059,1.234811439,1.203143378,1.178664692,1.242452903,1.286068251,1.31025196,1.267340784,1.264535189,1.199016931,1.192018779,1.207439279,1.213729111,1.162518541,1.179897545,1.190085975,1.203108241,1.096483798,1.178205425,1.17460806,1.178801173,1.181298276,1.161308517,1.152961981,1.152066319,1.155750518,1.152296464,1.177157638,1.13428072,1.155075027,1.165134189,1.186875206,1.186411645,1.19319529,1.221641663,1.216010932,1.205174739,1.229210158,1.224641796,1.213022722,1.174272231,1.162967016,1.186942905,1.147977858,1.147846478,1.148014329,1.154996673,1.43560354,1.422659111,1.415501112,1.421637832,1.404511195,1.476930367,1.440039518,1.440330683,1.443732591,1.436428164
2018,1.231193336,1.23092652,1.192398931,1.233795262,1.196556369,1.275945869,1.200314341,1.222158509,1.247278689,1.159990955,1.358463567,1.187950582,1.246242137,1.241828113,1.227996035,1.220620358,1.243758694,1.219555422,1.237094232,1.192217799,1.371173469,1.246944071,1.251182202,1.216344341,1.37897466,1.255080579,1.238011425,1.208477842,1.239144317,1.216494445,1.199566259,1.486111111,1.289853284,1.218288284,1.172286125,1.169319888,1.176774201,1.191059107,1.17128345,1.237105919,1.203781037,1.181087381,1.240057671,1.294297134,1.312068771,1.25944929,1.257819351,1.18836793,1.208488806,1.206336449,1.210239847,1.160406351,1.176354501,1.196023278,1.210105813,1.092587559,1.181793261,1.178287067,1.184399482,1.182829625,1.18164794,1.155543611,1.154334018,1.159282511,1.153290026,1.181413682,1.132114473,1.157070433,1.165779195,1.189692808,1.189326956,1.194542864,1.226983742,1.218981476,1.210203897,1.23293793,1.22088539,1.212044645,1.175209965,1.160510508,1.192070872,1.145109149,1.147660896,1.144406119,1.157492278,1.43727539,1.426508911,1.419422841,1.424667341,1.410055383,1.480669667,1.44095756,1.441250163,1.444711422,1.437313298
