rgddp.lg,urint.lg,wgshr.lg,ppicty.lg,ffds.ts
9.723014107,7.150569261,4.174109742,5.282695986,1.81
9.715239207,7.281640818,4.176879841,5.227894902,0.97
9.716238154,7.275203443,4.176148278,5.17501915,0.39
9.699178145,7.397712989,4.174160551,5.14107859,0.16
9.701849406,7.458924581,4.16356182,5.142832464,0.15
9.698422165,7.541057028,4.162810134,5.131672289,0.22
9.696207446,7.622191094,4.161689453,5.12455904,0.18
9.696109692,7.693655747,4.165996461,5.130490256,0.15
9.697362487,7.768889557,4.155971755,5.140493281,0.18
9.697640734,7.844289167,4.167309543,5.159629847,0.21
9.69675928,7.893278554,4.167571073,5.150397236,0.16
9.701783034,7.911686403,4.166701123,5.164785974,0.16
9.703084588,7.982412511,4.16237695,5.159629847,0.15
9.715265281,8.035890007,4.165154601,5.165928179,0.12
9.712100145,8.075495262,4.164699916,5.17840707,0.12
9.7065059,8.102800712,4.160169823,5.18234519,0.12
9.712672326,8.112649007,4.149612559,5.203457086,0.11
9.714903628,8.096009688,4.145152522,5.198497031,0.13
9.720778761,8.164810787,4.1445939,5.211124155,0.16
9.724693606,8.217211063,4.145923435,5.217107311,0.2
9.723979654,8.207242532,4.147313322,5.219274159,0.2
9.728591995,8.200787923,4.146816627,5.212214667,0.18
9.733297451,8.183243613,4.147720205,5.215479088,0.18
9.7308638,8.187908545,4.145240331,5.219815138,0.19
9.736144121,8.178966608,4.144019507,5.219815138,0.19
9.73837314,8.186189123,4.144082606,5.228967288,0.19
9.735351819,8.224916309,4.141394621,5.234844944,0.19
9.742292394,8.195872996,4.138329838,5.245443877,0.18
9.732859124,8.243702084,4.131178705,5.261134575,0.17
9.731623327,8.238014191,4.130027128,5.27709373,0.16
9.744368367,8.282465954,4.129179124,5.294309345,0.14
9.74664969,8.283232923,4.127033549,5.313698469,0.1
9.743188921,8.295172605,4.125738687,5.31861007,0.09
9.739283262,8.313769647,4.125681931,5.317629678,0.09
9.742847974,8.322571579,4.1282447,5.321056854,0.07
9.746964026,8.317645461,4.124505606,5.314190716,0.1
9.738637319,8.315173272,4.122834529,5.316648323,0.08
9.755530436,8.249710231,4.117536865,5.303802297,0.07
9.753194929,8.264748108,4.113321952,5.30529298,0.08
9.753247865,8.258014858,4.113191633,5.297316866,0.07
9.756341036,8.22924142,4.1206077,5.301811256,0.08
9.770717756,8.216725612,4.121967926,5.306285536,0.1
9.759899937,8.194477582,4.121054145,5.319099906,0.13
9.764866142,8.19192981,4.117712266,5.316648323,0.14
9.768778324,8.202082182,4.115572756,5.307772525,0.16
9.76672913,8.219604532,4.118492981,5.297316866,0.16
9.771258683,8.194477582,4.123512477,5.298817242,0.16
9.765288598,8.189812089,4.12578994,5.311727053,0.13
9.768141257,8.157109555,4.126039565,5.320078858,0.14
9.765058873,8.152071761,4.121294093,5.315666005,0.16
9.769399719,8.123900884,4.120047447,5.307277108,0.16
9.773690265,8.112985719,4.107998257,5.305789381,0.16
9.782793973,8.070906089,4.14155138,5.310739887,0.14
9.775705543,8.054908013,4.139842798,5.319589502,0.15
9.779104359,8.044939842,4.138588054,5.318119994,0.14
9.780790174,8.044579417,4.140500433,5.315666005,0.15
9.778926039,8.039519775,4.139990515,5.31861007,0.11
9.785902622,8.028590704,4.140830035,5.319589502,0.09
9.786739387,8.025986584,4.138166763,5.320078858,0.09
9.792386089,8.020203986,4.137780727,5.319099906,0.08
9.791929762,8.01487064,4.135770742,5.317629678,0.08
9.797080323,7.951401066,4.139916132,5.310739887,0.09
9.801217202,7.950688561,4.142478433,5.304299438,0.08
9.798797756,7.918538696,4.143792107,5.308267697,0.09
9.791675493,7.864389689,4.144218339,5.317139121,0.07
9.797644087,7.918538696,4.144131695,5.326418797,0.07
9.797397159,7.8851094,4.142483534,5.332718793,0.08
9.804204366,7.796155031,4.137308304,5.338979348,0.09
9.809171269,7.797725107,4.133573875,5.33753808,0.09
9.811844575,7.750822695,4.131485969,5.338979348,0.1
9.818552836,7.731043279,4.131455864,5.33753808,0.09
9.823695797,7.693143583,4.132660453,5.332718793,0.09
9.819223326,7.65667727,4.133320979,5.329816034,0.09
9.825061633,7.634652314,4.13368583,5.315174484,0.09
9.825597198,7.664351905,4.13578486,5.302807272,0.09
9.825951002,7.629260585,4.13559011,5.283203729,0.12
9.833665927,7.625320987,4.136203931,5.257495372,0.11
9.837995831,7.564285096,4.135162989,5.252796851,0.11
9.831828111,7.523244546,4.137290616,5.254887809,0.11
9.840731229,7.536274047,4.136940837,5.251749731,0.12
9.838955271,7.566148162,4.13780898,5.264760583,0.12
9.842329338,7.433214875,4.137375861,5.271973391,0.13
9.842838949,7.403547111,4.138303692,5.267342562,0.13
9.843086699,7.394748594,4.139121077,5.256974403,0.14
9.848067174,7.275047814,4.138905559,5.242275976,0.14
9.847796021,7.342742826,4.140021185,5.233778845,0.12
9.843695403,7.376986138,4.140439371,5.224132468,0.12
9.848028488,7.357183511,4.139389121,5.212214667,0.24
9.851171525,7.358473001,4.139229542,5.207297968,0.34
9.849888391,7.389348789,4.13848153,5.200153118,0.38
9.855795555,7.371418626,4.138277438,5.204555987,0.36
9.856294105,7.376986138,4.139327867,5.210578452,0.37
9.854845215,7.279861114,4.138687073,5.221976133,0.37
9.85533936,7.340558625,4.139348185,5.234312037,0.38
9.858251298,7.312770848,4.13977097,5.234844944,0.39
9.862331648,7.311571088,4.137849697,5.228967288,0.4
9.867073692,7.305701555,4.138584529,5.230573714,0.4
9.863594814,7.28926533,4.13925858,5.229503051,0.4
9.869479788,7.220924387,4.138744003,5.227358278,0.41
9.871168059,7.236250357,4.138279774,5.237505227,0.54
9.870389867,7.197485814,4.136284672,5.250701513,0.65
9.871732764,7.183853665,4.135616882,5.255409866,0.66
9.876697276,7.123591296,4.133895987,5.254887809,0.79
9.87285931,7.082935291,4.13521535,5.262690189,0.9
9.87893043,7.107526694,4.132376604,5.261653382,0.91
9.883760701,7.080480375,4.135436244,5.265794175,1.04
9.883493446,7.080480375,4.136702266,5.265277512,1.15
9.885040395,7.078777281,4.136047449,5.266826699,1.16
9.890591961,7.139669246,4.136013182,5.271973391,1.15
9.891319471,7.119962845,4.136477427,5.272486607,1.15
9.899122088,7.100694426,4.13921025,5.277604325,1.16
9.902286732,7.016458516,4.140157835,5.279644101,1.3
9.903837191,6.991765904,4.13959335,5.287761853,1.41
9.908094126,6.961242794,4.137706355,5.294811227,1.42
9.905129454,6.983467101,4.136600561,5.294811227,1.51
9.9077977,6.91892858,4.137015956,5.299816243,1.69
9.912628447,6.803393016,4.135734455,5.314190716,1.7
9.91251632,6.840366257,4.13593671,5.319099906,1.82
9.9163481,6.893952594,4.135818592,5.319589502,1.91
9.918097358,6.863180935,4.136644666,5.315174484,1.91
9.917157788,6.913804362,4.136249452,5.316157285,1.95
9.917484931,6.893952594,4.13342444,5.321056854,2.19
9.918511328,6.849697585,4.13290741,5.309751744,2.2
9.919852267,6.866582099,4.127253413,5.303304908,2.27
9.925416496,6.825838157,4.132259065,5.293807211,2.4
9.922910892,6.836029946,4.13347531,5.294309345,2.4
9.926191897,6.854212265,4.135437059,5.302309388,2.41
9.929607731,6.840967038,4.13267765,5.308762624,2.42
9.931855306,6.878106585,4.130448029,5.306781445,2.39
9.937991293,6.772746069,4.13080125,5.299816243,2.38
9.943319185,6.702981295,4.129802965,5.301811256,2.4
9.944616828,6.786539392,4.130229876,5.294309345,2.13
9.946429458,6.785397187,4.130357947,5.290285195,2.04
9.947440034,6.809113714,4.133903714,5.291292752,1.83
9.953607546,6.710673641,4.134486171,5.293304825,1.55
9.953703604,6.730186455,4.136246818,5.293304825,1.55
9.952963244,6.786539392,4.138996722,5.294811227,1.55
9.955014682,6.697172954,4.142203332,5.281679725,1.58
9.906314653,6.733936794,4.136950898,5.263208189,0.65
9.81175514,7.087827116,3.943711007,5.223054882,0.05
9.854338379,7.350710996,4.019100226,5.23962837,0.05
9.900918906,7.484242389,4.043408056,5.253320001,0.08
9.922255969,7.574719974,4.038902217,5.262690189,0.09
9.930037756,7.538070347,4.079002874,5.269403356,0.1
9.940968147,7.541295578,4.078246077,5.275560379,0.09
9.946050032,7.441682774,4.096699866,5.280662431,0.09
9.937099005,7.469679796,4.114630809,5.289781036,0.09
9.943968865,7.465378714,4.113284606,5.300814247,0.09
9.957496077,7.533513438,4.015598735,5.322033893,0.09
9.944419253,7.561483974,4.082710155,5.3499606,0.08
9.966699507,7.615182042,3.899733144,5.370638028,0.07
9.971405513,7.573796826,4.051378818,5.384036242,0.07
9.973134503,7.568123873,4.080186408,5.415655859,0.06
9.974812928,7.659807163,4.087753266,5.433285227,0.08
9.979318743,7.500026256,4.086381975,5.446090611,0.1
9.979634698,7.429354123,4.088128116,5.452817985,0.09
9.985034221,7.316585505,4.100718421,5.462466467,0.08
9.996214809,7.211598194,4.104933757,5.482574549,0.08
9.995094247,7.193947478,4.1081985,5.494241816,0.08
10.00371042,7.112299973,4.111763755,5.486198441,0.08
9.994577385,7.004086388,4.110789285,5.507171306,0.08
9.992957027,7.053459473,4.109447604,5.532044711,0.08
9.999839916,6.913804362,4.108413446,5.560735476,0.2
9.998657904,6.938295382,4.1064678,5.580898954,0.33
9.997403761,6.813568064,4.10534583,5.610390787,0.77
9.996023342,6.804639433,4.104313434,5.63568563,1.21
9.999775481,6.767459486,4.108263135,5.606808912,1.68
10.00828675,6.804639433,4.108699596,5.596739062,2.33
10.00559043,6.677564482,4.110269499,5.590606311,2.56
10.00994784,6.730186455,4.102022159,5.579959988,3.08
10.01173298,6.76810569,4.098627642,5.572750812,3.78
10.012619,6.637154944,4.095716545,5.55256028,4.1
10.01814072,6.687416779,4.098718449,5.561554327,4.33
10.01534118,6.665325821,4.09593901,5.555549252,4.57
10.02243578,6.642296343,4.09340394,5.549317301,4.65
10.02261986,6.6826435,4.094349225,5.548718044,4.83
10.02453153,6.754053936,4.0945378,5.53603421,5.06
10.02754782,6.730186455,4.09745303,5.536782934,5.08
10.03185377,6.697172954,4.100452556,5.53668445,5.12
10.03733285,6.74298663,4.100975767,5.551718505,5.33
10.0399125,6.790842651,4.101186061,5.556573203,5.33
10.03736662,6.848148398,4.100388134,5.542016203,5.33
10.043096,6.692724795,4.100764761,5.532820157,5.33
10.05379096,6.854212265,4.101269921,5.520924774,5.33
10.03982909,6.767200888,4.095640071,5.52667132,5.33
10.05078425,6.819844621,4.098706738,5.540973307,5.33
10.04996749,6.852788777,4.099354022,5.541636025,5.33
10.0526599,6.775827736,4.09842521,5.548990478,5.33
10.0569394,6.838802535,4.099527894,5.542490243,5.33
10.05745966,6.860239583,4.097794388,5.544841451,5.33
10.06380491,6.87949451,4.099378056,5.550324333,5.33
10.06420891,6.898725872,4.102052423,5.543077585,5.33
10.06369701,6.948055789,4.102053084,5.532131781,5.13
10.06792035,6.961242794,4.101314024,5.533709596,4.83
10.07019272,7.019678483,4.102366029,5.534223133,4.64
10.06736362,6.995580931,4.102106497,5.535060029,4.48
10.06675468,6.896455724,4.100147626,5.550475883,4.33
10.06541489,6.917594357,4.099917121,5.558748995,4.33
10.06842068,6.985340345,4.098544376,5.554992401,4.33
10.07577536,6.998355713,4.091989934,5.554477812,4.33
10.07179897,6.964220569,4.09817655,5.555584045,4.33
10.08141472,6.9699385,4.096292839,5.562568312,4.33
10.08601459,7.055787762,4.096990726,5.569709983,4.33
10.08749394,7.07640705,4.09638941,5.568764263,4.33
10.09103414,7.082935291,4.096515338,5.568703218,4.22
10.09294244,7.073031639,4.098667673,5.563462377,4.09
10.09455878,7.063028924,4.099215034,5.565891115,3.88
